donor_age_category,anatomical_division_label,subclass_name,n_cells,n_donors,mean_Kif13a,median_Kif13a,fraction_expressing
adult,HPF,326 OPC NN,5909,8,7.4181957,8.106101,0.914198679979692
adult,HPF,327 Oligo NN,6966,8,7.948546,8.568778,0.9358311800172265
adult,HY,326 OPC NN,1198,4,7.0475044,7.8208885,0.8948247078464107
adult,HY,327 Oligo NN,2070,4,8.044664,8.522266,0.9497584541062802
adult,Isocortex,326 OPC NN,5198,9,7.431852,8.116034,0.911119661408234
adult,Isocortex,327 Oligo NN,6452,9,8.00725,8.647285,0.9353688778673279
adult,MB,326 OPC NN,6064,14,6.5772257,7.61125,0.845811345646438
adult,MB,327 Oligo NN,21472,14,8.139359,8.586647,0.9575260804769001
adult,P,326 OPC NN,3168,9,6.0950522,7.387064,0.7935606060606061
adult,P,327 Oligo NN,18198,9,7.9330397,8.3873825,0.9524123530058248
adult,PAL,326 OPC NN,5022,8,6.498734,7.6054444,0.8295499800876145
adult,PAL,327 Oligo NN,18498,8,7.7508726,8.299305,0.9381554762677046
adult,STR,326 OPC NN,6684,15,7.1521654,7.9652705,0.8901855176540994
adult,STR,327 Oligo NN,9819,15,7.8678527,8.416407,0.9409308483552297
aged,HPF,326 OPC NN,11771,19,7.302477,8.025351,0.9049358593152663
aged,HPF,327 Oligo NN,8388,19,8.3121395,8.865267,0.9422985216976634
aged,HY,326 OPC NN,4238,5,7.1246595,7.8660803,0.8978291647003304
aged,HY,327 Oligo NN,4908,5,8.326702,8.779783,0.9568052159739201
aged,Isocortex,326 OPC NN,9763,14,7.244474,8.002133,0.8957287718938851
aged,Isocortex,327 Oligo NN,15692,14,8.306156,8.903229,0.9346163650267653
aged,MB,326 OPC NN,8730,11,6.6555014,7.577699,0.8591065292096219
aged,MB,327 Oligo NN,15331,11,8.19346,8.62269,0.9577326984541126
aged,P,326 OPC NN,9384,10,6.3697906,7.448126,0.8274722932651322
aged,P,327 Oligo NN,21906,10,8.185215,8.61558,0.9589153656532456
aged,PAL,326 OPC NN,3150,3,6.9180202,7.7828946,0.8784126984126984
aged,PAL,327 Oligo NN,4212,3,7.992005,8.526125,0.9449192782526116
aged,STR,326 OPC NN,7891,13,7.132727,7.8606396,0.896464326447852
aged,STR,327 Oligo NN,11386,13,8.223668,8.725831,0.9480063235552433
