donor_label,donor_age_category,donor_age,donor_sex,class_name,subclass_name,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
C57BL/6J-592557,aged,18M,M,31 OPC-Oligo,326 OPC NN,96,5.1144867,7.2502117,0.65625
C57BL/6J-592557,aged,18M,M,31 OPC-Oligo,327 Oligo NN,75,6.5122294,7.6327944,0.8133333333333334
C57BL/6J-592558,aged,18M,F,31 OPC-Oligo,326 OPC NN,268,7.4158783,7.9305325,0.9365671641791045
C57BL/6J-592558,aged,18M,F,31 OPC-Oligo,327 Oligo NN,673,8.310924,8.814409,0.9554234769687965
Snap25-IRES2-Cre;Ai14-443008,aged,P549,F,31 OPC-Oligo,326 OPC NN,473,6.999229,7.9701076,0.8625792811839323
Snap25-IRES2-Cre;Ai14-443008,aged,P549,F,31 OPC-Oligo,327 Oligo NN,969,8.516672,9.038739,0.9473684210526315
Snap25-IRES2-Cre;Ai14-450087,adult,P56,M,31 OPC-Oligo,326 OPC NN,853,6.7247176,7.658344,0.8558030480656507
Snap25-IRES2-Cre;Ai14-450087,adult,P56,M,31 OPC-Oligo,327 Oligo NN,4127,8.067681,8.547091,0.95105403440756
Snap25-IRES2-Cre;Ai14-450091,aged,P547,F,31 OPC-Oligo,326 OPC NN,1331,7.4029117,8.0118,0.9158527422990232
Snap25-IRES2-Cre;Ai14-450091,aged,P547,F,31 OPC-Oligo,327 Oligo NN,3088,8.067149,8.640281,0.9378238341968912
Snap25-IRES2-Cre;Ai14-450095,adult,P56,F,31 OPC-Oligo,326 OPC NN,191,6.5336413,7.8023367,0.8167539267015707
Snap25-IRES2-Cre;Ai14-450095,adult,P56,F,31 OPC-Oligo,327 Oligo NN,265,7.8748884,8.438463,0.9358490566037736
Snap25-IRES2-Cre;Ai14-451986,aged,P540,F,31 OPC-Oligo,326 OPC NN,673,7.3169026,7.910822,0.9301634472511144
Snap25-IRES2-Cre;Ai14-451986,aged,P540,F,31 OPC-Oligo,327 Oligo NN,798,8.258597,8.641764,0.9636591478696742
Snap25-IRES2-Cre;Ai14-452095,aged,P540,F,31 OPC-Oligo,326 OPC NN,1625,6.4197435,7.496636,0.832
Snap25-IRES2-Cre;Ai14-452095,aged,P540,F,31 OPC-Oligo,327 Oligo NN,4536,8.180052,8.639303,0.9561287477954145
Snap25-IRES2-Cre;Ai14-452096,aged,P540,F,31 OPC-Oligo,326 OPC NN,570,7.0300436,7.9509945,0.875438596491228
Snap25-IRES2-Cre;Ai14-452096,aged,P540,F,31 OPC-Oligo,327 Oligo NN,1161,8.316756,8.843113,0.9474590869939707
Snap25-IRES2-Cre;Ai14-452709,aged,P550,M,31 OPC-Oligo,326 OPC NN,2039,7.0683208,7.88444,0.8867091711623345
Snap25-IRES2-Cre;Ai14-452709,aged,P550,M,31 OPC-Oligo,327 Oligo NN,2273,8.235797,8.700888,0.954245490541135
Snap25-IRES2-Cre;Ai14-452710,aged,P543,M,31 OPC-Oligo,326 OPC NN,1434,7.4791584,8.022741,0.9302649930264993
Snap25-IRES2-Cre;Ai14-452710,aged,P543,M,31 OPC-Oligo,327 Oligo NN,738,8.339767,8.875908,0.9444444444444444
Snap25-IRES2-Cre;Ai14-452711,aged,P542,M,31 OPC-Oligo,326 OPC NN,1999,7.188671,7.940978,0.8994497248624312
Snap25-IRES2-Cre;Ai14-452711,aged,P542,M,31 OPC-Oligo,327 Oligo NN,1013,8.142937,8.688625,0.9378084896347483
Snap25-IRES2-Cre;Ai14-452712,aged,P542,M,31 OPC-Oligo,326 OPC NN,1575,7.2763314,7.959381,0.9073015873015873
Snap25-IRES2-Cre;Ai14-452712,aged,P542,M,31 OPC-Oligo,327 Oligo NN,687,8.230545,8.670866,0.9548762736535662
Snap25-IRES2-Cre;Ai14-452714,aged,P542,M,31 OPC-Oligo,326 OPC NN,855,7.5989413,8.081452,0.9380116959064327
Snap25-IRES2-Cre;Ai14-452714,aged,P542,M,31 OPC-Oligo,327 Oligo NN,2375,8.73099,9.063133,0.9722105263157895
Snap25-IRES2-Cre;Ai14-452716,aged,P543,F,31 OPC-Oligo,326 OPC NN,901,7.0727105,7.762212,0.9123196448390677
Snap25-IRES2-Cre;Ai14-452716,aged,P543,F,31 OPC-Oligo,327 Oligo NN,978,8.226959,8.548738,0.976482617586912
Snap25-IRES2-Cre;Ai14-452717,aged,P549,F,31 OPC-Oligo,326 OPC NN,2095,7.053477,7.9619956,0.8706443914081146
Snap25-IRES2-Cre;Ai14-452717,aged,P549,F,31 OPC-Oligo,327 Oligo NN,3366,7.895059,8.736816,0.8957219251336899
Snap25-IRES2-Cre;Ai14-453388,aged,P546,M,31 OPC-Oligo,326 OPC NN,1581,7.174828,7.9742403,0.8893105629348513
Snap25-IRES2-Cre;Ai14-453388,aged,P546,M,31 OPC-Oligo,327 Oligo NN,2864,8.009858,8.840038,0.901536312849162
Snap25-IRES2-Cre;Ai14-454396,aged,P550,M,31 OPC-Oligo,326 OPC NN,1235,7.37853,8.191678,0.8882591093117409
Snap25-IRES2-Cre;Ai14-454396,aged,P550,M,31 OPC-Oligo,327 Oligo NN,2834,8.851574,9.345386,0.955892731122089
Snap25-IRES2-Cre;Ai14-454398,aged,P543,M,31 OPC-Oligo,326 OPC NN,1618,6.9474998,7.8030815,0.8782447466007417
Snap25-IRES2-Cre;Ai14-454398,aged,P543,M,31 OPC-Oligo,327 Oligo NN,1665,7.6626344,8.391321,0.9159159159159159
Snap25-IRES2-Cre;Ai14-454399,aged,P549,F,31 OPC-Oligo,326 OPC NN,2425,6.614251,7.6583915,0.842061855670103
Snap25-IRES2-Cre;Ai14-454399,aged,P549,F,31 OPC-Oligo,327 Oligo NN,6830,8.221071,8.686406,0.9543191800878478
Snap25-IRES2-Cre;Ai14-455010,aged,P553,F,31 OPC-Oligo,326 OPC NN,543,6.681844,7.8723226,0.8342541436464088
Snap25-IRES2-Cre;Ai14-455010,aged,P553,F,31 OPC-Oligo,327 Oligo NN,185,7.5527005,8.413714,0.8864864864864865
Snap25-IRES2-Cre;Ai14-455011,aged,P553,F,31 OPC-Oligo,326 OPC NN,1569,7.1785684,7.8446064,0.9094964945825367
Snap25-IRES2-Cre;Ai14-455011,aged,P553,F,31 OPC-Oligo,327 Oligo NN,2395,8.2703705,8.633465,0.9686847599164927
Snap25-IRES2-Cre;Ai14-455012,aged,P547,F,31 OPC-Oligo,326 OPC NN,921,6.624071,7.615514,0.8447339847991314
Snap25-IRES2-Cre;Ai14-455012,aged,P547,F,31 OPC-Oligo,327 Oligo NN,3585,8.173569,8.592917,0.9615062761506277
Snap25-IRES2-Cre;Ai14-455014,aged,P546,F,31 OPC-Oligo,326 OPC NN,1792,7.7515936,8.2824135,0.9375
Snap25-IRES2-Cre;Ai14-455014,aged,P546,F,31 OPC-Oligo,327 Oligo NN,1855,8.830967,9.118303,0.9800539083557952
Snap25-IRES2-Cre;Ai14-459490,adult,P56,M,31 OPC-Oligo,326 OPC NN,545,6.991018,8.044312,0.8568807339449541
Snap25-IRES2-Cre;Ai14-459490,adult,P56,M,31 OPC-Oligo,327 Oligo NN,1234,7.8274436,8.436234,0.9343598055105349
Snap25-IRES2-Cre;Ai14-459495,adult,P56,F,31 OPC-Oligo,326 OPC NN,583,6.455957,7.6339283,0.8181818181818182
Snap25-IRES2-Cre;Ai14-459495,adult,P56,F,31 OPC-Oligo,327 Oligo NN,2851,7.7040668,8.200502,0.9459838653104174
Snap25-IRES2-Cre;Ai14-459918,aged,P544,F,31 OPC-Oligo,326 OPC NN,1884,7.2759705,7.930991,0.9134819532908705
Snap25-IRES2-Cre;Ai14-459918,aged,P544,F,31 OPC-Oligo,327 Oligo NN,1134,8.116429,8.585127,0.9514991181657848
Snap25-IRES2-Cre;Ai14-459919,aged,P544,F,31 OPC-Oligo,326 OPC NN,1369,6.7798376,7.6832075,0.8634039444850256
Snap25-IRES2-Cre;Ai14-459919,aged,P544,F,31 OPC-Oligo,327 Oligo NN,1810,7.9568806,8.44376,0.9475138121546961
Snap25-IRES2-Cre;Ai14-462433,adult,P69,M,31 OPC-Oligo,326 OPC NN,71,6.933214,7.786467,0.8873239436619719
Snap25-IRES2-Cre;Ai14-462433,adult,P69,M,31 OPC-Oligo,327 Oligo NN,351,7.9083233,8.387543,0.9544159544159544
Snap25-IRES2-Cre;Ai14-462434,adult,P69,M,31 OPC-Oligo,326 OPC NN,480,6.2374477,7.563366,0.7854166666666667
Snap25-IRES2-Cre;Ai14-462434,adult,P69,M,31 OPC-Oligo,327 Oligo NN,723,7.3717065,8.215118,0.8948824343015215
Snap25-IRES2-Cre;Ai14-463229,aged,18M,M,31 OPC-Oligo,326 OPC NN,1214,6.7548666,7.632206,0.872322899505766
Snap25-IRES2-Cre;Ai14-463229,aged,18M,M,31 OPC-Oligo,327 Oligo NN,2254,8.1032095,8.528284,0.9574090505767524
Snap25-IRES2-Cre;Ai14-463230,aged,P549,M,31 OPC-Oligo,326 OPC NN,1951,7.075278,7.696853,0.9128651973347002
Snap25-IRES2-Cre;Ai14-463230,aged,P549,M,31 OPC-Oligo,327 Oligo NN,4732,8.337046,8.705022,0.9666103127641589
Snap25-IRES2-Cre;Ai14-463232,aged,P541,M,31 OPC-Oligo,326 OPC NN,1494,6.895843,7.8452644,0.8634538152610441
Snap25-IRES2-Cre;Ai14-463232,aged,P541,M,31 OPC-Oligo,327 Oligo NN,2248,7.8403583,8.504869,0.9248220640569395
Snap25-IRES2-Cre;Ai14-463235,aged,P541,M,31 OPC-Oligo,326 OPC NN,1990,6.5501456,7.574478,0.8467336683417085
Snap25-IRES2-Cre;Ai14-463235,aged,P541,M,31 OPC-Oligo,327 Oligo NN,3313,8.011222,8.516782,0.9465741020223363
Snap25-IRES2-Cre;Ai14-463942,adult,P56,F,31 OPC-Oligo,326 OPC NN,743,6.5958924,7.624034,0.8465679676985195
Snap25-IRES2-Cre;Ai14-463942,adult,P56,F,31 OPC-Oligo,327 Oligo NN,2931,7.7801337,8.336034,0.9396110542476971
Snap25-IRES2-Cre;Ai14-463943,adult,P56,F,31 OPC-Oligo,326 OPC NN,268,6.8692303,7.9085865,0.8507462686567164
Snap25-IRES2-Cre;Ai14-463943,adult,P56,F,31 OPC-Oligo,327 Oligo NN,441,7.772517,8.464111,0.9251700680272109
Snap25-IRES2-Cre;Ai14-464324,adult,P68,M,31 OPC-Oligo,326 OPC NN,784,6.3824306,7.587737,0.8125
Snap25-IRES2-Cre;Ai14-464324,adult,P68,M,31 OPC-Oligo,327 Oligo NN,2798,7.5805464,8.171846,0.9299499642601858
Snap25-IRES2-Cre;Ai14-464325,aged,P551,M,31 OPC-Oligo,326 OPC NN,1714,7.077161,7.8147855,0.8955659276546091
Snap25-IRES2-Cre;Ai14-464325,aged,P551,M,31 OPC-Oligo,327 Oligo NN,3205,8.453832,8.886134,0.9591263650546021
Snap25-IRES2-Cre;Ai14-464327,adult,P68,F,31 OPC-Oligo,326 OPC NN,793,6.0866795,7.460508,0.7780580075662042
Snap25-IRES2-Cre;Ai14-464327,adult,P68,F,31 OPC-Oligo,327 Oligo NN,2749,7.4885426,8.171709,0.9148781375045472
Snap25-IRES2-Cre;Ai14-464328,adult,P69,F,31 OPC-Oligo,326 OPC NN,247,7.1241307,7.8766866,0.8987854251012146
Snap25-IRES2-Cre;Ai14-464328,adult,P69,F,31 OPC-Oligo,327 Oligo NN,1173,8.381638,8.721077,0.9710144927536232
Snap25-IRES2-Cre;Ai14-464751,aged,P542,M,31 OPC-Oligo,326 OPC NN,524,7.2116446,7.9473805,0.9045801526717557
Snap25-IRES2-Cre;Ai14-464751,aged,P542,M,31 OPC-Oligo,327 Oligo NN,235,8.403096,8.814862,0.9702127659574468
Snap25-IRES2-Cre;Ai14-464753,aged,18M,M,31 OPC-Oligo,326 OPC NN,1767,6.2413106,7.3615236,0.8075834748160724
Snap25-IRES2-Cre;Ai14-464753,aged,18M,M,31 OPC-Oligo,327 Oligo NN,944,7.704834,8.513721,0.9014830508474576
Snap25-IRES2-Cre;Ai14-464754,adult,P67,M,31 OPC-Oligo,326 OPC NN,369,6.235635,7.5236883,0.8075880758807588
Snap25-IRES2-Cre;Ai14-464754,adult,P67,M,31 OPC-Oligo,327 Oligo NN,1899,8.088357,8.62386,0.9441811479726172
Snap25-IRES2-Cre;Ai14-464755,aged,P549,M,31 OPC-Oligo,326 OPC NN,1274,6.8628836,7.620002,0.8838304552590267
Snap25-IRES2-Cre;Ai14-464755,aged,P549,M,31 OPC-Oligo,327 Oligo NN,3941,8.501982,8.833022,0.9743719868053794
Snap25-IRES2-Cre;Ai14-464756,aged,P541,F,31 OPC-Oligo,326 OPC NN,184,7.1106586,8.028246,0.8804347826086957
Snap25-IRES2-Cre;Ai14-464756,aged,P541,F,31 OPC-Oligo,327 Oligo NN,346,8.506111,8.871014,0.9624277456647399
Snap25-IRES2-Cre;Ai14-464758,aged,P542,F,31 OPC-Oligo,326 OPC NN,2153,6.602476,7.5379395,0.8560148629818858
Snap25-IRES2-Cre;Ai14-464758,aged,P542,F,31 OPC-Oligo,327 Oligo NN,2884,8.198478,8.577249,0.9649791955617198
Snap25-IRES2-Cre;Ai14-464759,aged,P541,F,31 OPC-Oligo,326 OPC NN,2434,6.544657,7.601117,0.8393590797041907
Snap25-IRES2-Cre;Ai14-464759,aged,P541,F,31 OPC-Oligo,327 Oligo NN,1152,7.6161337,8.327366,0.9140625
Snap25-IRES2-Cre;Ai14-468425,adult,P62,M,31 OPC-Oligo,326 OPC NN,19,7.0166264,7.5132227,0.8947368421052632
Snap25-IRES2-Cre;Ai14-468425,adult,P62,M,31 OPC-Oligo,327 Oligo NN,117,7.489551,8.125493,0.9401709401709402
Snap25-IRES2-Cre;Ai14-468791,aged,P545,M,31 OPC-Oligo,326 OPC NN,1561,7.1918387,7.8547783,0.9083920563741191
Snap25-IRES2-Cre;Ai14-468791,aged,P545,M,31 OPC-Oligo,327 Oligo NN,3207,8.202997,8.737035,0.9448082319925164
Snap25-IRES2-Cre;Ai14-468792,aged,P545,M,31 OPC-Oligo,326 OPC NN,2133,7.863907,8.259383,0.9563994374120957
Snap25-IRES2-Cre;Ai14-468792,aged,P545,M,31 OPC-Oligo,327 Oligo NN,2326,8.708557,9.066391,0.9742046431642304
Snap25-IRES2-Cre;Ai14-469515,adult,P64,M,31 OPC-Oligo,326 OPC NN,117,7.188022,8.021625,0.8974358974358975
Snap25-IRES2-Cre;Ai14-469515,adult,P64,M,31 OPC-Oligo,327 Oligo NN,273,7.589445,8.070247,0.9267399267399268
Snap25-IRES2-Cre;Ai14-469518,adult,P58,F,31 OPC-Oligo,326 OPC NN,48,6.9987583,7.8985415,0.8541666666666666
Snap25-IRES2-Cre;Ai14-469518,adult,P58,F,31 OPC-Oligo,327 Oligo NN,169,7.664927,8.142835,0.9408284023668639
Snap25-IRES2-Cre;Ai14-473084,adult,P68,F,31 OPC-Oligo,326 OPC NN,133,6.619078,7.7617464,0.8345864661654135
Snap25-IRES2-Cre;Ai14-473084,adult,P68,F,31 OPC-Oligo,327 Oligo NN,320,7.4315886,8.090012,0.915625
Snap25-IRES2-Cre;Ai14-473981,adult,9 wks,M,31 OPC-Oligo,326 OPC NN,370,5.641209,7.36795,0.7297297297297297
Snap25-IRES2-Cre;Ai14-473981,adult,9 wks,M,31 OPC-Oligo,327 Oligo NN,1465,7.7438107,8.294121,0.9324232081911262
Snap25-IRES2-Cre;Ai14-482568,adult,P56,F,31 OPC-Oligo,326 OPC NN,303,5.9143114,7.539709,0.7458745874587459
Snap25-IRES2-Cre;Ai14-482568,adult,P56,F,31 OPC-Oligo,327 Oligo NN,1030,8.027,8.513079,0.9495145631067962
Snap25-IRES2-Cre;Ai14-489429,adult,P53,F,31 OPC-Oligo,326 OPC NN,456,5.446766,7.1820936,0.7105263157894737
Snap25-IRES2-Cre;Ai14-489429,adult,P53,F,31 OPC-Oligo,327 Oligo NN,2595,7.586449,8.204723,0.9263969171483623
Snap25-IRES2-Cre;Ai14-490936,adult,P56,M,31 OPC-Oligo,326 OPC NN,171,5.733226,7.3313756,0.7485380116959064
Snap25-IRES2-Cre;Ai14-490936,adult,P56,M,31 OPC-Oligo,327 Oligo NN,1032,7.6694374,8.1615715,0.938953488372093
Snap25-IRES2-Cre;Ai14-492080,adult,P56,F,31 OPC-Oligo,326 OPC NN,187,6.1336904,7.471858,0.786096256684492
Snap25-IRES2-Cre;Ai14-492080,adult,P56,F,31 OPC-Oligo,327 Oligo NN,996,7.470252,8.038873,0.9216867469879518
Snap25-IRES2-Cre;Ai14-499298,adult,P67,F,31 OPC-Oligo,326 OPC NN,484,5.9804196,7.3820376,0.7706611570247934
Snap25-IRES2-Cre;Ai14-499298,adult,P67,F,31 OPC-Oligo,327 Oligo NN,1583,8.169921,8.664249,0.952621604548326
Snap25-IRES2-Cre;Ai14-499307,aged,P543,M,31 OPC-Oligo,326 OPC NN,73,7.334141,8.268787,0.8904109589041096
Snap25-IRES2-Cre;Ai14-499307,aged,P543,M,31 OPC-Oligo,327 Oligo NN,216,8.372009,8.918153,0.9490740740740741
Snap25-IRES2-Cre;Ai14-500027,adult,P67,M,31 OPC-Oligo,326 OPC NN,367,6.270626,7.5504603,0.8010899182561307
Snap25-IRES2-Cre;Ai14-500027,adult,P67,M,31 OPC-Oligo,327 Oligo NN,2809,8.283333,8.692481,0.9654681381274475
Snap25-IRES2-Cre;Ai14-504230,adult,9 wks,M,31 OPC-Oligo,326 OPC NN,202,6.820859,7.6571026,0.8762376237623762
Snap25-IRES2-Cre;Ai14-504230,adult,9 wks,M,31 OPC-Oligo,327 Oligo NN,1025,8.17305,8.489281,0.968780487804878
Snap25-IRES2-Cre;Ai14-504535,adult,P67,F,31 OPC-Oligo,326 OPC NN,161,6.159606,7.2443647,0.8074534161490683
Snap25-IRES2-Cre;Ai14-504535,adult,P67,F,31 OPC-Oligo,327 Oligo NN,1010,8.330812,8.659381,0.9683168316831683
Snap25-IRES2-Cre;Ai14-506920,adult,P59,M,31 OPC-Oligo,326 OPC NN,476,6.6957145,7.734478,0.8403361344537815
Snap25-IRES2-Cre;Ai14-506920,adult,P59,M,31 OPC-Oligo,327 Oligo NN,1597,8.308397,8.808193,0.9555416405760802
Snap25-IRES2-Cre;Ai14-511457,aged,P545,M,31 OPC-Oligo,326 OPC NN,44,6.8931737,7.863448,0.8636363636363636
Snap25-IRES2-Cre;Ai14-511457,aged,P545,M,31 OPC-Oligo,327 Oligo NN,86,7.7183433,8.737249,0.8837209302325582
Snap25-IRES2-Cre;Ai14-511460,aged,P544,F,31 OPC-Oligo,326 OPC NN,911,6.7140074,7.6369576,0.8638858397365532
Snap25-IRES2-Cre;Ai14-511460,aged,P544,F,31 OPC-Oligo,327 Oligo NN,477,8.219553,8.6553955,0.9559748427672956
Snap25-IRES2-Cre;Ai14-511895,aged,P543,M,31 OPC-Oligo,326 OPC NN,1791,5.841097,7.167879,0.7599106644332775
Snap25-IRES2-Cre;Ai14-511895,aged,P543,M,31 OPC-Oligo,327 Oligo NN,1200,7.777133,8.408162,0.9333333333333333
Snap25-IRES2-Cre;Ai14-512026,aged,P544,F,31 OPC-Oligo,326 OPC NN,766,6.8404474,7.6761627,0.8772845953002611
Snap25-IRES2-Cre;Ai14-512026,aged,P544,F,31 OPC-Oligo,327 Oligo NN,1115,8.242066,8.654575,0.9551569506726457
Snap25-IRES2-Cre;Ai14-512279,aged,P546,M,31 OPC-Oligo,326 OPC NN,20,6.183532,7.178258,0.8
Snap25-IRES2-Cre;Ai14-512279,aged,P546,M,31 OPC-Oligo,327 Oligo NN,17,6.6981573,7.2201777,0.8823529411764706
Snap25-IRES2-Cre;Ai14-513431,aged,P540,M,31 OPC-Oligo,326 OPC NN,58,5.9876575,7.602867,0.7586206896551724
Snap25-IRES2-Cre;Ai14-513431,aged,P540,M,31 OPC-Oligo,327 Oligo NN,38,7.9547987,8.512692,0.9210526315789473
Snap25-IRES2-Cre;Ai14-538745,adult,P57,F,31 OPC-Oligo,326 OPC NN,2272,7.318043,8.013371,0.9124119718309859
Snap25-IRES2-Cre;Ai14-538745,adult,P57,F,31 OPC-Oligo,327 Oligo NN,2461,7.884045,8.425255,0.9439252336448598
Snap25-IRES2-Cre;Ai14-540565,adult,P54,M,31 OPC-Oligo,326 OPC NN,2047,7.282066,8.002409,0.9052271617000488
Snap25-IRES2-Cre;Ai14-540565,adult,P54,M,31 OPC-Oligo,327 Oligo NN,2191,8.375705,8.76261,0.9707895937927887
Snap25-IRES2-Cre;Ai14-540566,adult,P61,F,31 OPC-Oligo,326 OPC NN,314,7.0621476,7.859396,0.8853503184713376
Snap25-IRES2-Cre;Ai14-540566,adult,P61,F,31 OPC-Oligo,327 Oligo NN,306,7.3154864,8.09021,0.9019607843137255
Snap25-IRES2-Cre;Ai14-544400,adult,P58,F,31 OPC-Oligo,326 OPC NN,1054,6.637035,7.645464,0.8434535104364327
Snap25-IRES2-Cre;Ai14-544400,adult,P58,F,31 OPC-Oligo,327 Oligo NN,1656,7.6936493,8.245909,0.9341787439613527
Snap25-IRES2-Cre;Ai14-546762,adult,P55,F,31 OPC-Oligo,326 OPC NN,357,7.344141,7.955587,0.9159663865546218
Snap25-IRES2-Cre;Ai14-546762,adult,P55,F,31 OPC-Oligo,327 Oligo NN,115,6.184114,7.0279074,0.8260869565217391
Snap25-IRES2-Cre;Ai14-546799,adult,P62,M,31 OPC-Oligo,326 OPC NN,2165,7.4253516,8.141931,0.9062355658198614
Snap25-IRES2-Cre;Ai14-546799,adult,P62,M,31 OPC-Oligo,327 Oligo NN,2106,7.8355055,8.537381,0.9178537511870846
Snap25-IRES2-Cre;Ai14-546812,adult,9 wks,M,31 OPC-Oligo,326 OPC NN,938,7.6778517,8.184122,0.9349680170575693
Snap25-IRES2-Cre;Ai14-546812,adult,9 wks,M,31 OPC-Oligo,327 Oligo NN,1328,7.9313273,8.570784,0.9390060240963856
Snap25-IRES2-Cre;Ai14-546813,adult,P69,M,31 OPC-Oligo,326 OPC NN,1536,7.357059,7.998578,0.9153645833333334
Snap25-IRES2-Cre;Ai14-546813,adult,P69,M,31 OPC-Oligo,327 Oligo NN,2352,8.143708,8.732433,0.9426020408163265
Snap25-IRES2-Cre;Ai14-548212,adult,P69,F,31 OPC-Oligo,326 OPC NN,1491,7.473167,8.102259,0.9221998658618377
Snap25-IRES2-Cre;Ai14-548212,adult,P69,F,31 OPC-Oligo,327 Oligo NN,1174,8.079217,8.6696,0.9471890971039182
Snap25-IRES2-Cre;Ai14-549927,adult,P58,M,31 OPC-Oligo,326 OPC NN,717,7.2753816,7.8764625,0.9107391910739191
Snap25-IRES2-Cre;Ai14-549927,adult,P58,M,31 OPC-Oligo,327 Oligo NN,1446,8.251471,8.702345,0.9543568464730291
Snap25-IRES2-Cre;Ai14-549928,adult,P58,M,31 OPC-Oligo,326 OPC NN,836,7.541143,8.15098,0.9258373205741627
Snap25-IRES2-Cre;Ai14-549928,adult,P58,M,31 OPC-Oligo,327 Oligo NN,1137,8.152918,8.692244,0.9489885664028144
Snap25-IRES2-Cre;Ai14-550468,adult,P69,F,31 OPC-Oligo,326 OPC NN,486,6.1828575,7.3588376,0.8127572016460906
