donor_age_category,class_name,subclass_name,n_cells,n_donors,mean_Kif13a,median_Kif13a,fraction_expressing
adult,01 IT-ET Glut,001 CLA-EPd-CTX Car3 Glut,183,5,2.5938108,0.0,0.48633879781420764
adult,01 IT-ET Glut,002 IT EP-CLA Glut,1316,13,2.9665802,4.3369246,0.5592705167173252
adult,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,453,9,3.9768558,4.8384576,0.7527593818984547
adult,01 IT-ET Glut,004 L6 IT CTX Glut,3675,15,2.9774423,4.235674,0.5706122448979591
adult,01 IT-ET Glut,005 L5 IT CTX Glut,4242,11,3.8668098,4.806136,0.7074493163602075
adult,01 IT-ET Glut,006 L4/5 IT CTX Glut,5382,11,3.093297,4.3056784,0.6007060572277964
adult,01 IT-ET Glut,007 L2/3 IT CTX Glut,6313,11,2.9700465,4.2142115,0.5740535403136385
adult,01 IT-ET Glut,008 L2/3 IT ENT Glut,1538,2,3.0508988,4.0305243,0.6332899869960988
adult,01 IT-ET Glut,009 L2/3 IT PIR-ENTl Glut,1169,12,3.1204226,4.2241974,0.6159110350727117
adult,01 IT-ET Glut,011 L2 IT ENT-po Glut,541,4,4.706161,5.4189763,0.8317929759704251
adult,01 IT-ET Glut,015 ENTmv-PA-COAp Glut,368,6,4.4844236,5.357214,0.7934782608695652
adult,01 IT-ET Glut,016 CA1-ProS Glut,7190,12,3.3408513,4.4710374,0.6357440890125173
adult,01 IT-ET Glut,017 CA3 Glut,1154,7,3.3235128,4.3033867,0.658578856152513
adult,01 IT-ET Glut,018 L2 IT PPP-APr Glut,887,5,3.3723419,4.7678285,0.5862457722660653
adult,01 IT-ET Glut,019 L2/3 IT PPP Glut,4467,5,3.808074,4.9779143,0.6724871278262816
adult,01 IT-ET Glut,020 L2/3 IT RSP Glut,4335,7,4.202032,5.5226874,0.6752018454440599
adult,01 IT-ET Glut,021 L4 RSP-ACA Glut,938,6,2.4517941,3.6541724,0.5181236673773987
adult,01 IT-ET Glut,022 L5 ET CTX Glut,1724,12,3.4943202,4.449831,0.6885150812064965
adult,01 IT-ET Glut,023 SUB-ProS Glut,1247,7,4.178266,5.070793,0.7698476343223737
adult,01 IT-ET Glut,024 L5 PPP Glut,120,4,3.870747,4.7949066,0.7083333333333334
adult,01 IT-ET Glut,025 CA2-FC-IG Glut,65,6,1.9542911,0.0,0.4
adult,02 NP-CT-L6b Glut,028 L6b/CT ENT Glut,3540,6,4.123178,5.2391086,0.7062146892655368
adult,02 NP-CT-L6b Glut,029 L6b CTX Glut,165,14,5.7502728,6.4149423,0.8909090909090909
adult,02 NP-CT-L6b Glut,030 L6 CT CTX Glut,8288,18,4.0362754,5.043119,0.715854247104247
adult,02 NP-CT-L6b Glut,031 CT SUB Glut,1125,6,5.0316277,5.9630947,0.8097777777777778
adult,02 NP-CT-L6b Glut,032 L5 NP CTX Glut,2128,11,5.117845,6.1419125,0.7880639097744361
adult,02 NP-CT-L6b Glut,033 NP SUB Glut,496,7,4.0703573,4.970126,0.7358870967741935
adult,02 NP-CT-L6b Glut,034 NP PPP Glut,346,4,5.6572742,6.304138,0.8901734104046243
adult,03 OB-CR Glut,036 HPF CR Glut,953,30,3.19161,0.0,0.43651626442812175
adult,04 DG-IMN Glut,037 DG Glut,5579,5,2.641813,0.0,0.4525900699050009
adult,04 DG-IMN Glut,038 DG-PIR Ex IMN,179,5,3.4177783,5.374034,0.5195530726256983
adult,05 OB-IMN GABA,045 OB-STR-CTX Inh IMN,538,20,3.0420213,0.0,0.45353159851301117
adult,06 CTX-CGE GABA,046 Vip Gaba,3735,35,2.3403544,0.0,0.39357429718875503
adult,06 CTX-CGE GABA,047 Sncg Gaba,1071,31,2.1918714,0.0,0.4341736694677871
adult,06 CTX-CGE GABA,048 RHP-COA Ndnf Gaba,272,19,2.149589,0.0,0.4264705882352941
adult,06 CTX-CGE GABA,049 Lamp5 Gaba,2882,35,2.8874233,4.3781595,0.5194309507286606
adult,07 CTX-MGE GABA,050 Lamp5 Lhx6 Gaba,630,30,2.622043,0.0,0.4714285714285714
adult,07 CTX-MGE GABA,051 Pvalb chandelier Gaba,380,26,3.4643414,4.8486466,0.618421052631579
adult,07 CTX-MGE GABA,052 Pvalb Gaba,2632,29,3.732756,4.9069624,0.6690729483282675
adult,07 CTX-MGE GABA,053 Sst Gaba,4206,31,3.6424415,4.808823,0.6576319543509273
adult,08 CNU-MGE GABA,054 STR Prox1 Lhx6 Gaba,519,28,3.883512,5.128367,0.6782273603082851
adult,08 CNU-MGE GABA,055 STR Lhx8 Gaba,69,14,2.8586688,0.0,0.4782608695652174
adult,08 CNU-MGE GABA,056 Sst Chodl Gaba,559,31,4.0647664,5.396785,0.6905187835420393
adult,08 CNU-MGE GABA,058 PAL-STR Gaba-Chol,57,15,4.448304,4.836479,0.8947368421052632
adult,09 CNU-LGE GABA,059 GPe-SI Sox6 Cyp26b1 Gaba,80,12,3.3219361,4.933698,0.5875
adult,09 CNU-LGE GABA,061 STR D1 Gaba,12619,20,3.3936472,4.7554126,0.5973531975592361
adult,09 CNU-LGE GABA,062 STR D2 Gaba,10529,21,2.903114,4.3110776,0.5203723050622091
adult,09 CNU-LGE GABA,063 STR D1 Sema5a Gaba,1614,15,3.5011635,5.031806,0.5836431226765799
adult,11 CNU-HYa GABA,066 NDB-SI-ant Prdm12 Gaba,388,21,2.4644496,0.0,0.43556701030927836
adult,11 CNU-HYa GABA,076 MEA-BST Lhx6 Nfib Gaba,204,12,3.1981335,4.7294044,0.5588235294117647
adult,11 CNU-HYa GABA,085 SI-MPO-LPO Lhx8 Gaba,100,7,4.867512,5.5677195,0.83
adult,11 CNU-HYa GABA,086 MPO-ADP Lhx8 Gaba,130,13,4.761917,5.8402233,0.7692307692307693
adult,11 CNU-HYa GABA,089 PVR Six3 Sox3 Gaba,292,13,4.84266,5.954018,0.7602739726027398
adult,11 CNU-HYa GABA,090 BST-MPN Six3 Nrgn Gaba,513,13,4.8860416,5.854459,0.7933723196881092
adult,12 HY GABA,091 ARH-PVi Six6 Dopa-Gaba,56,5,4.301539,5.3151536,0.7678571428571429
adult,12 HY GABA,092 TMv-PMv Tbx3 Hist-Gaba,60,4,5.321647,5.7106676,0.9333333333333333
adult,12 HY GABA,094 SCH Six6 Cdc14a Gaba,298,5,4.911517,6.0194325,0.7449664429530202
adult,12 HY GABA,095 DMH Prdm13 Gaba,276,6,5.213117,6.266762,0.7934782608695652
adult,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,947,27,4.5961833,5.663426,0.7539598732840549
adult,12 HY GABA,098 AHN-SBPV-PVHd Pdrm12 Gaba,347,7,4.8898606,5.926713,0.7809798270893372
adult,12 HY GABA,099 SBPV-PVa Six6 Satb2 Gaba,384,5,4.950709,5.997528,0.78125
adult,12 HY GABA,100 AHN Onecut3 Gaba,140,8,4.780778,5.7672505,0.7928571428571428
adult,12 HY GABA,102 DMH-LHA Gsx1 Gaba,394,9,4.924112,5.956413,0.7791878172588832
adult,12 HY GABA,103 PVHd-DMH Lhx6 Gaba,50,4,5.5403028,6.290925,0.86
