cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
2171,4949 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,1101 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA,2,5.523156,5.523156,1.0
2173,5000 CBN Dmbx1 Gaba_1,1115 CBN Dmbx1 Gaba_1,295 CBN Dmbx1 Gaba,27 MY GABA,GABA,3450,4.755388,5.772504,0.7857971014492754
2174,5001 CBN Dmbx1 Gaba_1,1115 CBN Dmbx1 Gaba_1,295 CBN Dmbx1 Gaba,27 MY GABA,GABA,124,4.8587747,5.816799,0.7983870967741935
2607,4021 PB Evx2 Glut_1,0914 PB Evx2 Glut_1,222 PB Evx2 Glut,23 P Glut,Glut,1,0.0,0.0,0.0
2630,4034 PB Evx2 Glut_3,0916 PB Evx2 Glut_3,222 PB Evx2 Glut,23 P Glut,Glut,2,6.866911,6.866911,1.0
2633,4020 PB Evx2 Glut_1,0914 PB Evx2 Glut_1,222 PB Evx2 Glut,23 P Glut,Glut,1,0.0,0.0,0.0
2649,3323 CUN-PPN Evx2 Meis2 Glut_1,0776 CUN-PPN Evx2 Meis2 Glut_1,182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Glut,1,4.2636085,4.2636085,1.0
2769,3917 PB Lmx1a Glut_1,0895 PB Lmx1a Glut_1,217 PB Lmx1a Glut,23 P Glut,Glut,1,0.0,0.0,0.0
2774,3919 PB Lmx1a Glut_1,0895 PB Lmx1a Glut_1,217 PB Lmx1a Glut,23 P Glut,Glut,1,6.641145,6.641145,1.0
2936,3404 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,1,5.815195,5.815195,1.0
2971,3407 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,1,5.3172197,5.3172197,1.0
3000,4769 LDT-PCG St18 Gaba_1,1067 LDT-PCG St18 Gaba_1,276 LDT-PCG St18 Gaba,26 P GABA,GABA,1,6.974718,6.974718,1.0
3116,4948 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,1101 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA-Glyc,1,5.4962215,5.4962215,1.0
3255,3584 PAG-RN Nkx2-2 Otx1 Gaba_3,0825 PAG-RN Nkx2-2 Otx1 Gaba_3,201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,1,5.902558,5.902558,1.0
3268,3749 SCs Pax7 Nfia Gaba_1,0859 SCs Pax7 Nfia Gaba_1,209 SCs Pax7 Nfia Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
3302,3488 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,2,7.292569,7.292569,1.0
3303,3502 IC Six3 En2 Gaba_6,0812 IC Six3 En2 Gaba_6,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,5.1368694,5.1368694,1.0
3304,3482 IC Six3 En2 Gaba_3,0809 IC Six3 En2 Gaba_3,198 IC Six3 En2 Gaba,20 MB GABA,GABA,2,0.0,0.0,0.0
3309,3489 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,4,2.479453,2.2445738,0.5
3310,3490 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,2,2.7977662,2.7977662,0.5
3311,3491 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,6.0960965,6.0960965,1.0
3312,3478 IC Six3 En2 Gaba_2,0808 IC Six3 En2 Gaba_2,198 IC Six3 En2 Gaba,20 MB GABA,GABA,3,3.687353,4.769288,0.6666666666666666
3315,3466 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,8,4.9486895,6.2435465,0.75
3317,3467 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,8,3.9446785,5.406439,0.625
3318,3503 IC Six3 En2 Gaba_6,0812 IC Six3 En2 Gaba_6,198 IC Six3 En2 Gaba,20 MB GABA,GABA,2,2.9304006,2.9304006,0.5
3319,3504 IC Six3 En2 Gaba_6,0812 IC Six3 En2 Gaba_6,198 IC Six3 En2 Gaba,20 MB GABA,GABA,6,5.4189377,6.244803,0.8333333333333334
3321,3479 IC Six3 En2 Gaba_2,0808 IC Six3 En2 Gaba_2,198 IC Six3 En2 Gaba,20 MB GABA,GABA,6,4.5897865,6.065687,0.6666666666666666
3322,3492 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,4,4.889189,5.862945,0.75
3327,3468 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,3,5.9865155,5.8396645,1.0
3328,3493 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,6,5.206125,5.6960316,0.8333333333333334
3330,3470 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
3335,3472 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,6.1381836,6.1381836,1.0
3395,3576 PAG-RN Nkx2-2 Otx1 Gaba_3,0825 PAG-RN Nkx2-2 Otx1 Gaba_3,201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,1,7.2890983,7.2890983,1.0
3397,3577 PAG-RN Nkx2-2 Otx1 Gaba_3,0825 PAG-RN Nkx2-2 Otx1 Gaba_3,201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,1,6.0437737,6.0437737,1.0
3398,3578 PAG-RN Nkx2-2 Otx1 Gaba_3,0825 PAG-RN Nkx2-2 Otx1 Gaba_3,201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,2,3.8381546,3.8381546,0.5
3402,3579 PAG-RN Nkx2-2 Otx1 Gaba_3,0825 PAG-RN Nkx2-2 Otx1 Gaba_3,201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,8,4.3670435,5.7398367,0.75
3539,3715 SCm-PAG Cdh23 Gaba_3,0850 SCm-PAG Cdh23 Gaba_3,206 SCm-PAG Cdh23 Gaba,20 MB GABA,GABA,2,3.5079997,3.5079997,0.5
3541,3718 SCm-PAG Cdh23 Gaba_3,0850 SCm-PAG Cdh23 Gaba_3,206 SCm-PAG Cdh23 Gaba,20 MB GABA,GABA,4,7.0406103,6.9822817,1.0
3600,3822 SCsg Gabrr2 Gaba_4,0875 SCsg Gabrr2 Gaba_4,213 SCsg Gabrr2 Gaba,20 MB GABA,GABA,2,7.7023396,7.7023396,1.0
3603,3825 SCsg Gabrr2 Gaba_4,0875 SCsg Gabrr2 Gaba_4,213 SCsg Gabrr2 Gaba,20 MB GABA,GABA,1,7.2243757,7.2243757,1.0
3694,4945 MV-SPIV-PRP Dmbx1 Gly-Gaba_1,1099 MV-SPIV-PRP Dmbx1 Gly-Gaba_1,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA-Glyc,1,6.664415,6.664415,1.0
3982,4665 PB Sst Gly-Gaba_1,1041 PB Sst Gly-Gaba_1,265 PB Sst Gly-Gaba,26 P GABA,GABA-Glyc,2,2.935725,2.935725,0.5
4021,4995 MV Pax6 Gly-Gaba_1,1113 MV Pax6 Gly-Gaba_1,294 MV Pax6 Gly-Gaba,27 MY GABA,GABA-Glyc,1,6.2018,6.2018,1.0
4026,4667 PB Sst Gly-Gaba_1,1041 PB Sst Gly-Gaba_1,265 PB Sst Gly-Gaba,26 P GABA,GABA-Glyc,1,6.0908356,6.0908356,1.0
4047,4496 MV-SPIV Zic4 Neurod2 Glut_1,0997 MV-SPIV Zic4 Neurod2 Glut_1,248 MV-SPIV Zic4 Neurod2 Glut,24 MY Glut,Glut,1,7.4068565,7.4068565,1.0
4117,4521 CBN Neurod2 Pvalb Glut_1,1003 CBN Neurod2 Pvalb Glut_1,250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,103,5.520008,6.040301,0.9223300970873787
4119,4523 CBN Neurod2 Pvalb Glut_1,1003 CBN Neurod2 Pvalb Glut_1,250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,10,6.334665,6.037672,1.0
4130,4981 PAS-MV Ebf2 Gly-Gaba_1,1109 PAS-MV Ebf2 Gly-Gaba_1,293 PAS-MV Ebf2 Gly-Gaba,27 MY GABA,GABA-Glyc,13,6.175235,6.2736096,1.0
4132,4522 CBN Neurod2 Pvalb Glut_1,1003 CBN Neurod2 Pvalb Glut_1,250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,88,5.550534,6.185054,0.8863636363636364
4134,4524 CBN Neurod2 Pvalb Glut_1,1003 CBN Neurod2 Pvalb Glut_1,250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,58,5.9898033,6.411804,0.9310344827586207
4144,5175 DCO Il22 Gly-Gaba_3,1143 DCO Il22 Gly-Gaba_3,308 DCO Il22 Gly-Gaba,28 CB GABA,GABA-Glyc,1,5.5769253,5.5769253,1.0
4146,5184 CB PLI Gly-Gaba_3,1146 CB PLI Gly-Gaba_3,309 CB PLI Gly-Gaba,28 CB GABA,GABA,62,4.572724,5.7934494,0.7419354838709677
4147,5183 CB PLI Gly-Gaba_3,1146 CB PLI Gly-Gaba_3,309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,20,5.031389,6.1015577,0.8
4154,5169 DCO Il22 Gly-Gaba_1,1141 DCO Il22 Gly-Gaba_1,308 DCO Il22 Gly-Gaba,28 CB GABA,GABA-Glyc,1,0.0,0.0,0.0
4157,5186 CBX Golgi Gly-Gaba_1,1148 CBX Golgi Gly-Gaba_1,310 CBX Golgi Gly-Gaba,28 CB GABA,GABA-Glyc,171,5.182437,5.9542346,0.847953216374269
4159,5185 CB PLI Gly-Gaba_4,1147 CB PLI Gly-Gaba_4,309 CB PLI Gly-Gaba,28 CB GABA,GABA,336,3.0082378,0.0,0.42857142857142855
4160,5180 CB PLI Gly-Gaba_2,1145 CB PLI Gly-Gaba_2,309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,171,4.082934,5.5272646,0.6549707602339181
4161,5182 CB PLI Gly-Gaba_2,1145 CB PLI Gly-Gaba_2,309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,50,3.7844677,5.3420606,0.6
4162,5177 CB PLI Gly-Gaba_1,1144 CB PLI Gly-Gaba_1,309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,520,4.2802095,5.8314743,0.6538461538461539
4163,5187 CBX Golgi Gly-Gaba_1,1148 CBX Golgi Gly-Gaba_1,310 CBX Golgi Gly-Gaba,28 CB GABA,GABA-Glyc,71,5.271659,6.2415175,0.8028169014084507
4164,5178 CB PLI Gly-Gaba_1,1144 CB PLI Gly-Gaba_1,309 CB PLI Gly-Gaba,28 CB GABA,GABA,2990,4.4680734,6.059307,0.6625418060200668
4165,5181 CB PLI Gly-Gaba_2,1145 CB PLI Gly-Gaba_2,309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,30,4.1880717,5.1209283,0.7
4166,5179 CB PLI Gly-Gaba_1,1144 CB PLI Gly-Gaba_1,309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,44,3.8757362,5.635977,0.5909090909090909
4167,5188 CBX MLI Megf11 Gaba_1,1149 CBX MLI Megf11 Gaba_1,311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,30326,3.5274746,5.4223065,0.5230825034623755
4168,5189 CBX MLI Megf11 Gaba_1,1149 CBX MLI Megf11 Gaba_1,311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,102,3.319243,0.0,0.47058823529411764
4169,5190 CBX MLI Megf11 Gaba_2,1150 CBX MLI Megf11 Gaba_2,311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,251,2.8715699,0.0,0.38645418326693226
4170,5192 CBX MLI Cdh22 Gaba_1,1151 CBX MLI Cdh22 Gaba_1,312 CBX MLI Cdh22 Gaba,28 CB GABA,GABA,12805,2.7737193,0.0,0.4266302225693089
4171,5191 CBX MLI Megf11 Gaba_2,1150 CBX MLI Megf11 Gaba_2,311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,116,2.7567825,0.0,0.3620689655172414
4185,4148 PSV Pvalb Lhx2 Glut_1,0939 PSV Pvalb Lhx2 Glut_1,228 PSV Pvalb Lhx2 Glut,23 P Glut,Glut,1,6.8202705,6.8202705,1.0
4216,4198 PG-TRN-LRN Fat2 Glut_1,0953 PG-TRN-LRN Fat2 Glut_1,235 PG-TRN-LRN Fat2 Glut,23 P Glut,Glut,11,4.0409026,5.5388603,0.6363636363636364
4272,4050 PB Evx2 Glut_4,0917 PB Evx2 Glut_4,222 PB Evx2 Glut,23 P Glut,Glut,1,6.8384447,6.8384447,1.0
4276,4032 PB Evx2 Glut_2,0915 PB Evx2 Glut_2,222 PB Evx2 Glut,23 P Glut,Glut,1,7.0311556,7.0311556,1.0
