subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
327 Oligo NN,31 OPC-Oligo,,6196,7.742076409893479,8.2435845,0.9409296320206585
326 OPC NN,31 OPC-Oligo,,1047,5.951040082617001,7.296916,0.778414517669532
250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,259,5.6670389104247105,6.1028686,0.915057915057915
310 CBX Golgi Gly-Gaba,28 CB GABA,GABA-Glyc,242,5.208613511983471,6.0003967,0.8347107438016529
314 CB Granule Glut,29 CB Glut,Glut,113841,4.990498312587732,7.0597796,0.6431162762098014
295 CBN Dmbx1 Gaba,27 MY GABA,GABA,3574,4.758974845103525,5.77264955,0.7862339115836597
315 DCO UBC Glut,29 CB Glut,Glut,486,4.4497541567901235,6.0912671,0.654320987654321
332 SMC NN,33 Vascular,,135,4.416494858518519,6.829268,0.5777777777777777
335 BAM NN,34 Immune,,119,4.3603069689075635,6.4882965,0.5798319327731093
309 CB PLI Gly-Gaba,28 CB GABA,GABA,3388,4.325211313311688,5.99248465,0.6407910271546635
334 Microglia NN,34 Immune,,457,4.2279858792122536,6.731197,0.5426695842450766
309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,835,4.203492823712575,5.750536,0.6526946107784432
330 VLMC NN,33 Vascular,,189,4.029651896296296,6.0895953,0.544973544973545
316 Bergmann NN,30 Astro-Epen,,3202,3.6234239217988757,5.575870500000001,0.5349781386633354
333 Endo NN,33 Vascular,,961,3.5544259006243495,0.0,0.4630593132154006
311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,30795,3.5185356660431886,5.402183,0.5211885046273745
318 Astro-NT NN,30 Astro-Epen,,701,3.493217919686163,0.0,0.463623395149786
317 Astro-CB NN,30 Astro-Epen,,1689,3.3614159562462995,0.0,0.4570751924215512
331 Peri NN,33 Vascular,,415,3.2292907359036143,0.0,0.41204819277108434
312 CBX MLI Cdh22 Gaba,28 CB GABA,GABA,12805,2.773719254072628,0.0,0.4266302225693089
