subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
160 PAG-SC Neurod2 Meis2 Glut,19 MB Glut,Glut,1,4.627919,4.627919,1.0
162 CUN Evx2 Lhx2 Glut,19 MB Glut,Glut,3,3.8550024,5.2328873,0.6666666666666666
170 PAG-MRN Tfap2b Glut,19 MB Glut,Glut,1,0.0,0.0,0.0
181 IC Tfap2d Maf Glut,19 MB Glut,Glut,91,4.531087,5.5488286,0.7472527472527473
182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Glut,1,4.2636085,4.2636085,1.0
192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,2,5.5662074,5.5662074,1.0
198 IC Six3 En2 Gaba,20 MB GABA,GABA,60,4.405747,5.8729315,0.7
201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,13,4.757545,5.8506346,0.7692307692307693
206 SCm-PAG Cdh23 Gaba,20 MB GABA,GABA,6,5.8630733,6.9510393,0.8333333333333334
209 SCs Pax7 Nfia Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
213 SCsg Gabrr2 Gaba,20 MB GABA,GABA,3,7.5430183,7.2243757,1.0
217 PB Lmx1a Glut,23 P Glut,Glut,2,3.3205726,3.3205726,0.5
220 PB Pax5 Glut,23 P Glut,Glut,3,4.0686526,6.03126,0.6666666666666666
222 PB Evx2 Glut,23 P Glut,Glut,9,5.040385,5.7500124,0.7777777777777778
228 PSV Pvalb Lhx2 Glut,23 P Glut,Glut,1,6.8202705,6.8202705,1.0
235 PG-TRN-LRN Fat2 Glut,23 P Glut,Glut,11,4.0409026,5.5388603,0.6363636363636364
248 MV-SPIV Zic4 Neurod2 Glut,24 MY Glut,Glut,1,7.4068565,7.4068565,1.0
250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,259,5.667039,6.1028686,0.915057915057915
265 PB Sst Gly-Gaba,26 P GABA,GABA-Glyc,3,3.9874287,5.87145,0.6666666666666666
276 LDT-PCG St18 Gaba,26 P GABA,GABA,1,6.974718,6.974718,1.0
285 MY Lhx1 Gly-Gaba,27 MY GABA,GABA,2,2.8152804,2.8152804,0.5
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA,2,5.523156,5.523156,1.0
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA-Glyc,2,6.0803185,6.0803185,1.0
293 PAS-MV Ebf2 Gly-Gaba,27 MY GABA,GABA-Glyc,13,6.175235,6.2736096,1.0
294 MV Pax6 Gly-Gaba,27 MY GABA,GABA-Glyc,1,6.2018,6.2018,1.0
295 CBN Dmbx1 Gaba,27 MY GABA,GABA,3574,4.758975,5.77265,0.7862339115836597
308 DCO Il22 Gly-Gaba,28 CB GABA,GABA-Glyc,2,2.7884626,2.7884626,0.5
309 CB PLI Gly-Gaba,28 CB GABA,GABA,3388,4.3252115,5.9924846,0.6407910271546635
309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,835,4.2034926,5.750536,0.6526946107784432
310 CBX Golgi Gly-Gaba,28 CB GABA,GABA-Glyc,242,5.2086134,6.0003967,0.8347107438016529
311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,30795,3.5185356,5.402183,0.5211885046273745
312 CBX MLI Cdh22 Gaba,28 CB GABA,GABA,12805,2.7737193,0.0,0.4266302225693089
313 CBX Purkinje Gaba,28 CB GABA,GABA,31,5.0288763,5.114156,0.967741935483871
314 CB Granule Glut,29 CB Glut,Glut,113841,4.990498,7.0597796,0.6431162762098014
315 DCO UBC Glut,29 CB Glut,Glut,486,4.449754,6.091267,0.654320987654321
316 Bergmann NN,30 Astro-Epen,,3202,3.6234238,5.5758705,0.5349781386633354
317 Astro-CB NN,30 Astro-Epen,,1689,3.361416,0.0,0.4570751924215512
318 Astro-NT NN,30 Astro-Epen,,701,3.493218,0.0,0.463623395149786
321 Astroependymal NN,30 Astro-Epen,,8,0.88864577,0.0,0.125
323 Ependymal NN,30 Astro-Epen,,34,4.0899467,5.800379,0.6176470588235294
325 CHOR NN,30 Astro-Epen,,56,4.3016267,5.2859325,0.7678571428571429
326 OPC NN,31 OPC-Oligo,,1047,5.95104,7.296916,0.778414517669532
327 Oligo NN,31 OPC-Oligo,,6196,7.7420764,8.243585,0.9409296320206585
329 ABC NN,33 Vascular,,8,6.3951683,7.34714,0.875
330 VLMC NN,33 Vascular,,189,4.0296516,6.0895953,0.544973544973545
331 Peri NN,33 Vascular,,415,3.2292907,0.0,0.41204819277108434
332 SMC NN,33 Vascular,,135,4.416495,6.829268,0.5777777777777777
333 Endo NN,33 Vascular,,961,3.5544257,0.0,0.4630593132154006
334 Microglia NN,34 Immune,,457,4.227986,6.731197,0.5426695842450766
335 BAM NN,34 Immune,,119,4.3603067,6.4882965,0.5798319327731093
336 Monocytes NN,34 Immune,,1,0.0,0.0,0.0
337 DC NN,34 Immune,,4,1.4924989,0.0,0.25
338 Lymphoid NN,34 Immune,,10,0.78866386,0.0,0.1
