cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
12,0451 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,7.544639,7.544639,1.0
13,0452 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,46,5.2995367,5.4090567,0.9565217391304348
14,0424 L6b CTX Glut_1,0110 L6b CTX Glut_1,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,9,4.0625277,5.7099867,0.6666666666666666
15,0453 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,194,3.9368904,5.2307215,0.6649484536082474
16,0408 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,384,3.0792513,4.0380077,0.6484375
17,0409 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,219,3.2070293,4.2287464,0.5981735159817352
18,0403 L6b EPd Glut_1,0103 L6b EPd Glut_1,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,103,3.5904634,4.5142307,0.6893203883495146
19,0410 L6b/CT ENT Glut_1,0106 L6b/CT ENT Glut_1,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,53,2.747613,3.9374294,0.5660377358490566
20,0411 L6b/CT ENT Glut_1,0106 L6b/CT ENT Glut_1,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,4,1.0239418,0.0,0.25
21,0406 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,539,3.0955863,4.336503,0.5844155844155844
22,0405 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,340,3.771838,4.809716,0.6794117647058824
23,0407 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,469,4.178258,5.050204,0.7761194029850746
24,0414 L6b/CT ENT Glut_2,0107 L6b/CT ENT Glut_2,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,11,5.4748764,6.147555,0.9090909090909091
27,0430 L6b CTX Glut_2,0111 L6b CTX Glut_2,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,21,3.7536998,4.8100634,0.7142857142857143
32,0426 L6b CTX Glut_1,0110 L6b CTX Glut_1,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,1,0.0,0.0,0.0
33,0431 L6b CTX Glut_3,0112 L6b CTX Glut_3,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,9,6.197794,6.9238567,0.8888888888888888
34,0432 L6b CTX Glut_3,0112 L6b CTX Glut_3,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,3,4.1413274,5.8656683,0.6666666666666666
35,0433 L6b CTX Glut_3,0112 L6b CTX Glut_3,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,2,5.145606,5.145606,1.0
37,0404 L6b EPd Glut_1,0103 L6b EPd Glut_1,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,82,4.492597,5.5276604,0.7439024390243902
39,0454 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,12,4.7304893,5.081007,0.8333333333333334
43,0415 L6b/CT ENT Glut_2,0107 L6b/CT ENT Glut_2,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,1,5.7697453,5.7697453,1.0
46,0412 L6b/CT ENT Glut_1,0106 L6b/CT ENT Glut_1,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,2,0.0,0.0,0.0
49,0413 L6b/CT ENT Glut_1,0106 L6b/CT ENT Glut_1,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,2,2.1938272,2.1938272,0.5
50,0416 L6b/CT ENT Glut_2,0107 L6b/CT ENT Glut_2,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,6,6.8442874,6.9648323,1.0
51,0417 L6b/CT ENT Glut_2,0107 L6b/CT ENT Glut_2,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,5,4.2092485,5.0788045,0.8
59,0455 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,457,3.8886423,4.910201,0.7089715536105032
64,0436 L6 CT CTX Glut_1,0114 L6 CT CTX Glut_1,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,56,4.3440065,5.261694,0.7857142857142857
69,0443 L6 CT CTX Glut_2,0115 L6 CT CTX Glut_2,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,5.353673,5.353673,1.0
72,0439 L6 CT CTX Glut_1,0114 L6 CT CTX Glut_1,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,3,2.2166502,0.0,0.3333333333333333
75,0445 L6 CT CTX Glut_3,0116 L6 CT CTX Glut_3,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,0.0,0.0,0.0
76,0464 L5 NP CTX Glut_2,0123 L5 NP CTX Glut_2,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,41,5.5496387,6.5082583,0.8292682926829268
78,0466 L5 NP CTX Glut_2,0123 L5 NP CTX Glut_2,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,3,6.134867,6.2428823,1.0
80,0468 L5 NP CTX Glut_3,0124 L5 NP CTX Glut_3,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,4,5.20576,6.7469134,0.75
92,0478 NP SUB Glut_1,0127 NP SUB Glut_1,033 NP SUB Glut,02 NP-CT-L6b Glut,Glut,1,4.7915983,4.7915983,1.0
97,0023 L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,3,3.534352,4.658249,0.6666666666666666
98,0055 L5 IT CTX Glut_1,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,01 IT-ET Glut,Glut,2,0.0,0.0,0.0
102,0065 L5 IT CTX Glut_5,0022 L5 IT CTX Glut_5,005 L5 IT CTX Glut,01 IT-ET Glut,Glut,15,2.7541723,4.052468,0.6
103,0034 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,15,3.7823317,5.3891883,0.6666666666666666
