subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,246,4.3278070382113825,5.2542293,0.7479674796747967
063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,202,4.12756048960396,5.5866995,0.6633663366336634
030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,771,4.0262301216601815,5.079126,0.7185473411154345
053 Sst Gaba,07 CTX-MGE GABA,GABA,1363,3.8303579167278063,5.016984,0.6896551724137931
014 LA-BLA-BMA-PA Glut,01 IT-ET Glut,Glut,6472,3.713547183822621,4.74107195,0.6883498145859085
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,834,3.7076676679856115,4.8098094499999995,0.6726618705035972
054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,150,3.6502752073333333,4.9924545,0.62
051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,247,3.5667431627530366,4.775619,0.6396761133603239
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,2136,3.5269342108614232,4.526131299999999,0.6657303370786517
075 MEA-BST Lhx6 Nr2e1 Gaba,11 CNU-HYa GABA,GABA,153,3.51930484248366,4.8244805,0.6274509803921569
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,140,3.4351935464285717,4.2515505000000005,0.7142857142857143
113 MEA-COA-BMA Ccdc42 Glut,13 CNU-HYa Glut,Glut,593,3.277508573355818,4.699192,0.5750421585160203
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,574,3.2536236484320558,4.5613018499999995,0.5888501742160279
064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,3507,3.206042221670944,4.906719,0.5220986598232107
080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,460,3.1414894328260874,4.6462597,0.55
065 IA Mgp Gaba,09 CNU-LGE GABA,GABA,606,3.126310654290429,4.530579550000001,0.5577557755775577
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,969,3.110161213519092,4.322803,0.5913312693498453
062 STR D2 Gaba,09 CNU-LGE GABA,GABA,100,3.0084303039999996,4.638361,0.53
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,298,2.8960143453020133,4.066499,0.5738255033557047
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,6889,2.8246878062708665,4.0445647,0.5471040789664683
114 COAa-PAA-MEA Barhl2 Glut,13 CNU-HYa Glut,Glut,594,2.7000967804713807,3.77241015,0.5387205387205387
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,290,2.662096020689655,0.0,0.46551724137931033
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,337,2.4665070323442135,0.0,0.3353115727002967
046 Vip Gaba,06 CTX-CGE GABA,GABA,1111,2.3492239986498653,0.0,0.39423942394239425
001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,570,2.3115716098245613,0.0,0.4543859649122807
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1293,2.1882289264501162,0.0,0.40216550657385924
047 Sncg Gaba,06 CTX-CGE GABA,GABA,485,2.165767193814433,0.0,0.4288659793814433
