subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,570,2.3115716,0.0,0.4543859649122807
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,6889,2.8246877,4.0445647,0.5471040789664683
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,140,3.4351935,4.2515507,0.7142857142857143
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,298,2.8960142,4.0664988,0.5738255033557047
005 L5 IT CTX Glut,01 IT-ET Glut,Glut,17,2.430152,3.5679753,0.5294117647058824
006 L4/5 IT CTX Glut,01 IT-ET Glut,Glut,3,2.1537337,0.0,0.3333333333333333
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,10,2.1509042,0.0,0.4
008 L2/3 IT ENT Glut,01 IT-ET Glut,Glut,4,3.5186872,4.1786585,0.75
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1293,2.1882288,0.0,0.40216550657385924
010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,43,2.6100326,0.0,0.4883720930232558
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,969,3.110161,4.322803,0.5913312693498453
013 COAp Grxcr2 Glut,01 IT-ET Glut,Glut,31,2.2612808,0.0,0.41935483870967744
014 LA-BLA-BMA-PA Glut,01 IT-ET Glut,Glut,6472,3.7135472,4.7410717,0.6883498145859085
015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,82,3.496904,4.7876987,0.6219512195121951
016 CA1-ProS Glut,01 IT-ET Glut,Glut,7,4.114712,5.261011,0.7142857142857143
017 CA3 Glut,01 IT-ET Glut,Glut,24,1.9609232,0.0,0.3333333333333333
022 L5 ET CTX Glut,01 IT-ET Glut,Glut,3,3.0245266,4.2833543,0.6666666666666666
023 SUB-ProS Glut,01 IT-ET Glut,Glut,7,3.9356232,5.037495,0.7142857142857143
026 NLOT Rho Glut,01 IT-ET Glut,Glut,5,3.318863,5.0946918,0.6
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,2136,3.5269341,4.5261316,0.6657303370786517
028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,84,3.3596697,4.113278,0.6309523809523809
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,45,4.3085732,5.5157547,0.7333333333333333
030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,771,4.02623,5.079126,0.7185473411154345
032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,48,5.5575585,6.4785137,0.8333333333333334
033 NP SUB Glut,02 NP-CT-L6b Glut,Glut,1,4.7915983,4.7915983,1.0
035 OB Eomes Ms4a15 Glut,03 OB-CR Glut,Glut,3,4.2858515,6.2148275,0.6666666666666666
036 HPF CR Glut,03 OB-CR Glut,Glut,41,2.4970148,0.0,0.34146341463414637
037 DG Glut,04 DG-IMN Glut,Glut,7,1.792505,0.0,0.2857142857142857
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,337,2.4665072,0.0,0.3353115727002967
039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,82,2.4567332,0.0,0.35365853658536583
041 OB-in Frmd7 Gaba,05 OB-IMN GABA,GABA,40,1.3545867,0.0,0.2
042 OB-out Frmd7 Gaba,05 OB-IMN GABA,GABA,36,0.83272284,0.0,0.1111111111111111
044 OB Dopa-Gaba,05 OB-IMN GABA,Dopa,1,6.1485243,6.1485243,1.0
044 OB Dopa-Gaba,05 OB-IMN GABA,GABA,11,3.9907393,6.273175,0.5454545454545454
044 OB Dopa-Gaba,05 OB-IMN GABA,Glut-GABA,1,0.0,0.0,0.0
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,208,4.1190314,5.9288635,0.6057692307692307
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,GABA,2,0.0,0.0,0.0
046 Vip Gaba,06 CTX-CGE GABA,GABA,1111,2.3492239,0.0,0.39423942394239425
047 Sncg Gaba,06 CTX-CGE GABA,GABA,485,2.1657672,0.0,0.4288659793814433
047 Sncg Gaba,06 CTX-CGE GABA,Glut-GABA,55,1.9699327,0.0,0.41818181818181815
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,57,2.8581376,4.139854,0.543859649122807
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,574,3.2536237,4.561302,0.5888501742160279
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,290,2.662096,0.0,0.46551724137931033
051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,247,3.5667431,4.775619,0.6396761133603239
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,834,3.7076676,4.8098097,0.6726618705035972
053 Sst Gaba,07 CTX-MGE GABA,GABA,1363,3.830358,5.016984,0.6896551724137931
054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,150,3.650275,4.9924545,0.62
055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,11,4.754221,5.516323,0.8181818181818182
056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,246,4.327807,5.2542295,0.7479674796747967
057 NDB-SI-MA-STRv Lhx8 Gaba,08 CNU-MGE GABA,GABA,18,3.327583,4.3616877,0.6111111111111112
