cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1,0326 L2 IT PPP-APr Glut_3,0082 L2 IT PPP-APr Glut_3,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,200,3.020442,4.4918003,0.525
2,0327 L2 IT PPP-APr Glut_3,0082 L2 IT PPP-APr Glut_3,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,235,3.7775598,4.900546,0.676595744680851
3,0322 L2 IT PPP-APr Glut_2,0081 L2 IT PPP-APr Glut_2,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,85,2.8525667,0.0,0.47058823529411764
4,0323 L2 IT PPP-APr Glut_2,0081 L2 IT PPP-APr Glut_2,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,324,4.032067,5.307254,0.6604938271604939
5,0325 L2 IT PPP-APr Glut_2,0081 L2 IT PPP-APr Glut_2,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,117,4.220122,5.4128966,0.7008547008547008
6,0321 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,156,3.2713826,4.632281,0.6025641025641025
7,0318 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,99,2.741755,4.0052996,0.5151515151515151
8,0319 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,113,2.8933947,4.2962866,0.5486725663716814
9,0320 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,52,3.3531027,4.580527,0.6153846153846154
10,0328 L2 IT PPP-APr Glut_4,0083 L2 IT PPP-APr Glut_4,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,252,2.6476045,0.0,0.4722222222222222
11,0324 L2 IT PPP-APr Glut_2,0081 L2 IT PPP-APr Glut_2,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,176,2.6063404,0.0,0.42613636363636365
12,0451 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,4.694212,4.694212,1.0
13,0452 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,4,6.2673817,5.9867187,1.0
14,0424 L6b CTX Glut_1,0110 L6b CTX Glut_1,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,5,5.8306246,7.1329203,0.8
15,0453 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,2,5.07827,5.07827,1.0
16,0408 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,8,2.9470584,3.8349202,0.625
17,0409 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,21,3.0264537,3.6445818,0.6190476190476191
19,0410 L6b/CT ENT Glut_1,0106 L6b/CT ENT Glut_1,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,391,3.3735576,4.289817,0.6649616368286445
20,0411 L6b/CT ENT Glut_1,0106 L6b/CT ENT Glut_1,028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,110,3.6308866,4.367351,0.6909090909090909
22,0405 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,4,2.754936,2.1921725,0.5
