subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
327 Oligo NN,31 OPC-Oligo,,15068,7.8938210039753125,8.499781500000001,0.934430581364481
326 OPC NN,31 OPC-Oligo,,11949,7.382030965821408,8.064677,0.914218763076408
329 ABC NN,33 Vascular,,400,5.755822277250001,6.97992485,0.78
034 NP PPP Glut,02 NP-CT-L6b Glut,Glut,535,5.5229496024299065,6.1778774,0.8766355140186916
031 CT SUB Glut,02 NP-CT-L6b Glut,Glut,1947,5.032900884180791,5.943224,0.8125321006676939
030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,173,4.895056354913295,5.6832523,0.8439306358381503
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,105,4.611843928571428,5.589225,0.780952380952381
011 L2 IT ENT-po Glut,01 IT-ET Glut,Glut,847,4.559266935655254,5.302429,0.8181818181818182
332 SMC NN,33 Vascular,,1807,4.420077332982845,6.915662,0.5677919203099059
015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,661,4.348505462329803,5.238089,0.7806354009077155
023 SUB-ProS Glut,01 IT-ET Glut,Glut,2271,4.2907391198150595,5.1106024,0.7961250550418318
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,200,4.223466591,6.000107249999999,0.61
028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,5484,4.187500275802334,5.21355425,0.7273887673231219
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,531,4.144090190207156,4.8697443,0.7947269303201506
325 CHOR NN,30 Astro-Epen,Glut,114,4.064350763157894,5.3672721,0.6929824561403509
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,1732,4.045784627829099,5.08922135,0.7182448036951501
335 BAM NN,34 Immune,,1132,4.010027513250883,6.4287272,0.5185512367491166
333 Endo NN,33 Vascular,,11300,3.9181768922654867,5.86859705,0.5089380530973451
033 NP SUB Glut,02 NP-CT-L6b Glut,Glut,868,3.886557264861751,4.8777363000000005,0.7039170506912442
318 Astro-NT NN,30 Astro-Epen,,190,3.86989514,6.083429,0.5157894736842106
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,135,3.837307546666666,4.856628,0.6888888888888889
334 Microglia NN,34 Immune,,14029,3.8301476980255185,0.0,0.4823579727706893
019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,8740,3.8097537593592676,4.9738708,0.674141876430206
053 Sst Gaba,07 CTX-MGE GABA,GABA,2969,3.69395266005389,4.843985,0.6655439541933311
051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,389,3.6287867580976867,4.749644,0.6555269922879178
319 Astro-TE NN,30 Astro-Epen,,39103,3.6193900444416025,0.0,0.4901669948597294
024 L5 PPP Glut,01 IT-ET Glut,Glut,214,3.6068936607476636,4.6682007500000005,0.6728971962616822
020 L2/3 IT RSP Glut,01 IT-ET Glut,Glut,246,3.6023663077235772,5.3928802000000005,0.5772357723577236
036 HPF CR Glut,03 OB-CR Glut,Glut,902,3.493772980487805,0.0,0.48004434589800443
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,257,3.4759277299610893,4.489266,0.669260700389105
017 CA3 Glut,01 IT-ET Glut,Glut,3117,3.44812988479307,4.441196,0.6756496631376323
330 VLMC NN,33 Vascular,,1768,3.4425259742081447,0.0,0.4671945701357466
016 CA1-ProS Glut,01 IT-ET Glut,Glut,14498,3.3832513820044143,4.5007341499999995,0.6426403641881638
006 L4/5 IT CTX Glut,01 IT-ET Glut,Glut,148,3.348159997297297,4.7129573,0.6013513513513513
018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,1809,3.285474610060807,4.7089634,0.5710337202874516
008 L2/3 IT ENT Glut,01 IT-ET Glut,Glut,2727,3.106324623725706,4.0360217,0.6516318298496516
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1744,3.0875747453555045,4.11755515,0.6227064220183486
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,2398,3.059585045204337,4.5471802,0.5542118432026689
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,475,2.991941566526316,0.0,0.4568421052631579
331 Peri NN,33 Vascular,,2839,2.7218349284255017,0.0,0.3321592109897851
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,120,2.683421946666667,3.64499615,0.5333333333333333
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,2641,2.618976471980311,0.0,0.4823930329420674
037 DG Glut,04 DG-IMN Glut,Glut,13965,2.5344016842105264,0.0,0.43609022556390975
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,1256,2.4907066040605095,0.0,0.49203821656050956
047 Sncg Gaba,06 CTX-CGE GABA,Glut-GABA,248,2.454897186693548,3.63723815,0.5201612903225806
319 Astro-TE NN,30 Astro-Epen,Glut,395,2.4144237055696203,0.0,0.3468354430379747
046 Vip Gaba,06 CTX-CGE GABA,GABA,4115,2.379436030328068,0.0,0.40267314702308626
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,Glut-GABA,125,2.3447819552,0.0,0.472
047 Sncg Gaba,06 CTX-CGE GABA,GABA,1015,2.3067897172413794,0.0,0.4640394088669951
025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,200,2.0988853925,0.0,0.435
038 DG-PIR Ex IMN,04 DG-IMN Glut,,602,1.7905989632890364,0.0,0.25249169435215946
