subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,31,2.872734,3.826626,0.6129032258064516
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,257,3.4759276,4.489266,0.669260700389105
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,531,4.14409,4.8697443,0.7947269303201506
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,135,3.8373075,4.856628,0.6888888888888889
005 L5 IT CTX Glut,01 IT-ET Glut,Glut,34,3.3477666,4.456773,0.5882352941176471
006 L4/5 IT CTX Glut,01 IT-ET Glut,Glut,148,3.34816,4.7129574,0.6013513513513513
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,120,2.6834219,3.6449962,0.5333333333333333
008 L2/3 IT ENT Glut,01 IT-ET Glut,Glut,2727,3.1063247,4.0360217,0.6516318298496516
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1744,3.0875747,4.117555,0.6227064220183486
010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,7,2.8019624,3.8529153,0.5714285714285714
011 L2 IT ENT-po Glut,01 IT-ET Glut,Glut,847,4.559267,5.302429,0.8181818181818182
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,2,3.1255317,3.1255317,0.5
013 COAp Grxcr2 Glut,01 IT-ET Glut,Glut,9,3.6546185,4.698049,0.6666666666666666
014 LA-BLA-BMA-PA Glut,01 IT-ET Glut,Glut,25,2.7549598,4.255244,0.52
015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,661,4.3485055,5.238089,0.7806354009077155
016 CA1-ProS Glut,01 IT-ET Glut,Glut,14498,3.3832514,4.5007343,0.6426403641881638
017 CA3 Glut,01 IT-ET Glut,Glut,3117,3.4481301,4.441196,0.6756496631376323
018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,1809,3.2854745,4.7089634,0.5710337202874516
019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,8740,3.8097537,4.9738708,0.674141876430206
020 L2/3 IT RSP Glut,01 IT-ET Glut,Glut,246,3.6023664,5.3928804,0.5772357723577236
021 L4 RSP-ACA Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
022 L5 ET CTX Glut,01 IT-ET Glut,Glut,67,4.1700506,4.8062673,0.7761194029850746
023 SUB-ProS Glut,01 IT-ET Glut,Glut,2271,4.290739,5.1106024,0.7961250550418318
024 L5 PPP Glut,01 IT-ET Glut,Glut,214,3.6068938,4.6682005,0.6728971962616822
025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,200,2.0988853,0.0,0.435
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,61,4.0198083,5.0920467,0.7540983606557377
028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,5484,4.1875005,5.2135544,0.7273887673231219
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,105,4.611844,5.589225,0.780952380952381
030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,173,4.8950562,5.6832523,0.8439306358381503
031 CT SUB Glut,02 NP-CT-L6b Glut,Glut,1947,5.032901,5.943224,0.8125321006676939
032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,49,3.873797,5.0858016,0.6122448979591837
033 NP SUB Glut,02 NP-CT-L6b Glut,Glut,868,3.8865573,4.877736,0.7039170506912442
034 NP PPP Glut,02 NP-CT-L6b Glut,Glut,535,5.5229497,6.1778774,0.8766355140186916
