cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
484,0204 MEA Slc17a7 Glut_2,0056 MEA Slc17a7 Glut_2,012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,1,5.592425,5.592425,1.0
548,0764 Sst Gaba_2,0215 Sst Gaba_2,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,6.164834,6.164834,1.0
549,0765 Sst Gaba_2,0215 Sst Gaba_2,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,0.0,0.0,0.0
550,0823 Sst Gaba_17,0230 Sst Gaba_17,053 Sst Gaba,07 CTX-MGE GABA,GABA,2,6.7185135,6.7185135,1.0
562,0837 STR Prox1 Lhx6 Gaba_3,0235 STR Prox1 Lhx6 Gaba_3,054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,1,7.146801,7.146801,1.0
563,0934 PAL-STR Gaba-Chol_3,0261 PAL-STR Gaba-Chol_3,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,22,3.6506057,4.9438596,0.6363636363636364
564,0935 PAL-STR Gaba-Chol_3,0261 PAL-STR Gaba-Chol_3,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,12,4.1630645,4.7851853,0.75
565,0841 STR Lhx8 Gaba_1,0236 STR Lhx8 Gaba_1,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,100,4.0381403,5.317263,0.66
566,0843 STR Lhx8 Gaba_2,0237 STR Lhx8 Gaba_2,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,31,3.544478,5.200828,0.5806451612903226
567,0936 PAL-STR Gaba-Chol_3,0261 PAL-STR Gaba-Chol_3,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,24,4.276915,5.1144075,0.75
568,0923 PAL-STR Gaba-Chol_1,0259 PAL-STR Gaba-Chol_1,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,Chol,7,3.767791,4.3429174,0.7142857142857143
569,0937 PAL-STR Gaba-Chol_3,0261 PAL-STR Gaba-Chol_3,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,22,3.282459,4.454244,0.5909090909090909
570,0924 PAL-STR Gaba-Chol_1,0259 PAL-STR Gaba-Chol_1,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,Chol,8,3.5177295,4.275445,0.75
571,0925 PAL-STR Gaba-Chol_1,0259 PAL-STR Gaba-Chol_1,058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,Chol,2,2.1071415,2.1071415,0.5
572,0833 STR Prox1 Lhx6 Gaba_2,0234 STR Prox1 Lhx6 Gaba_2,054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,1,0.0,0.0,0.0
573,0839 STR Lhx8 Gaba_1,0236 STR Lhx8 Gaba_1,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,1,7.235713,7.235713,1.0
579,0844 STR Lhx8 Gaba_2,0237 STR Lhx8 Gaba_2,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,27,4.4601917,5.2463965,0.7407407407407407
