subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,35,3.7060966,5.38519,0.6285714285714286
035 OB Eomes Ms4a15 Glut,03 OB-CR Glut,Glut,1,6.389149,6.389149,1.0
036 HPF CR Glut,03 OB-CR Glut,Glut,9,4.5536966,6.505371,0.6666666666666666
041 OB-in Frmd7 Gaba,05 OB-IMN GABA,GABA,2,2.8052328,2.8052328,0.5
046 Vip Gaba,06 CTX-CGE GABA,GABA,21,2.1190577,0.0,0.38095238095238093
047 Sncg Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,11,3.7581406,4.6522813,0.6363636363636364
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,1,6.1693196,6.1693196,1.0
053 Sst Gaba,07 CTX-MGE GABA,GABA,4,4.9004655,6.373311,0.75
054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,7,3.0672858,0.0,0.42857142857142855
055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,161,4.0642695,5.323851,0.6645962732919255
056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,88,4.5875216,5.548265,0.75
057 NDB-SI-MA-STRv Lhx8 Gaba,08 CNU-MGE GABA,GABA,1476,4.6176786,5.4742928,0.7940379403794038
058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,Chol,32,3.6707478,4.438735,0.71875
058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,86,3.8159914,4.8110437,0.6744186046511628
059 GPe-SI Sox6 Cyp26b1 Gaba,09 CNU-LGE GABA,GABA,61,3.4128244,4.9104853,0.6065573770491803
060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,60,3.5765681,5.5812883,0.5166666666666667
061 STR D1 Gaba,09 CNU-LGE GABA,GABA,19,4.8911095,5.834688,0.8421052631578947
062 STR D2 Gaba,09 CNU-LGE GABA,GABA,21,2.9198043,4.7212706,0.5238095238095238
063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,10,2.7881055,2.5454671,0.5
064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,273,3.484256,5.4342494,0.5604395604395604
065 IA Mgp Gaba,09 CNU-LGE GABA,GABA,4,3.4450707,2.6179101,0.5
066 NDB-SI-ant Prdm12 Gaba,11 CNU-HYa GABA,GABA,7,3.3181174,4.3887773,0.5714285714285714
067 LSX Sall3 Pax6 Gaba,10 LSX GABA,GABA,3,2.2343264,0.0,0.3333333333333333
068 LSX Otx2 Gaba,10 LSX GABA,GABA,19,4.024745,5.4634275,0.6842105263157895
069 LSX Nkx2-1 Gaba,10 LSX GABA,GABA,40,3.7536252,5.1819224,0.65
070 LSX Prdm12 Slit2 Gaba,10 LSX GABA,GABA,10,3.115827,4.4907827,0.6
073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,424,4.1575346,5.3110294,0.6933962264150944
074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,415,4.0183563,5.0944133,0.689156626506024
075 MEA-BST Lhx6 Nr2e1 Gaba,11 CNU-HYa GABA,GABA,22,4.5842505,5.0892816,0.8181818181818182
076 MEA-BST Lhx6 Nfib Gaba,11 CNU-HYa GABA,GABA,1139,3.5960639,5.087141,0.6022827041264267
077 CEA-BST Gal Avp Gaba,11 CNU-HYa GABA,GABA,8,5.5396633,6.36289,0.875
078 SI-MA-ACB Ebf1 Bnc2 Gaba,11 CNU-HYa GABA,GABA,55,4.116641,5.1917195,0.7090909090909091
079 CEA-BST Six3 Cyp26b1 Gaba,11 CNU-HYa GABA,GABA,12,4.057153,5.777916,0.6666666666666666
080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,77,4.130181,5.3949323,0.6753246753246753
