cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
6,0321 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
7,0318 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,8,2.8111327,2.1226926,0.5
8,0319 L2 IT PPP-APr Glut_1,0080 L2 IT PPP-APr Glut_1,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,2,2.2917385,2.2917385,0.5
10,0328 L2 IT PPP-APr Glut_4,0083 L2 IT PPP-APr Glut_4,018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,5,1.9545971,0.0,0.4
12,0451 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,28,5.054875,5.765943,0.8214285714285714
13,0452 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,126,4.280708,5.169608,0.7619047619047619
14,0424 L6b CTX Glut_1,0110 L6b CTX Glut_1,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,88,5.7310433,6.3508234,0.8977272727272727
15,0453 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,238,4.2905703,5.339363,0.7394957983193278
17,0409 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,1,4.235211,4.235211,1.0
18,0403 L6b EPd Glut_1,0103 L6b EPd Glut_1,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,4,4.8394375,6.094594,0.75
21,0406 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,4,5.1129293,5.112626,1.0
22,0405 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,8,6.5864573,6.7800922,1.0
