subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,1156,2.675151,0.0,0.49048442906574397
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,1112,2.936539,4.2812324,0.5503597122302158
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,1030,3.432637,4.4365554,0.6689320388349514
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,9627,2.5855126,0.0,0.48156227277448843
005 L5 IT CTX Glut,01 IT-ET Glut,Glut,8558,3.7359097,4.8410935,0.6658097686375322
006 L4/5 IT CTX Glut,01 IT-ET Glut,Glut,44121,2.8012252,3.8624876,0.5120917476938419
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,41389,2.5130644,0.0,0.4709463867211095
008 L2/3 IT ENT Glut,01 IT-ET Glut,Glut,23,2.0533907,0.0,0.391304347826087
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,99,2.5028965,3.0399451,0.5050505050505051
010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,73,2.765989,3.9896078,0.5342465753424658
011 L2 IT ENT-po Glut,01 IT-ET Glut,Glut,1,4.20202,4.20202,1.0
014 LA-BLA-BMA-PA Glut,01 IT-ET Glut,Glut,1,6.3372307,6.3372307,1.0
016 CA1-ProS Glut,01 IT-ET Glut,Glut,5,5.271383,4.9490266,1.0
017 CA3 Glut,01 IT-ET Glut,Glut,3,1.5659701,0.0,0.3333333333333333
018 L2 IT PPP-APr Glut,01 IT-ET Glut,Glut,16,2.3028452,0.0,0.4375
019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,12,2.8458612,2.1063511,0.5
020 L2/3 IT RSP Glut,01 IT-ET Glut,Glut,7203,4.374392,5.5842056,0.7047063723448563
021 L4 RSP-ACA Glut,01 IT-ET Glut,Glut,1452,2.680464,3.8038955,0.5599173553719008
022 L5 ET CTX Glut,01 IT-ET Glut,Glut,5927,3.2300608,4.3026342,0.636915809009617
024 L5 PPP Glut,01 IT-ET Glut,Glut,1,6.06933,6.06933,1.0
025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,18,3.1776052,4.904345,0.5555555555555556
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,69,5.1609726,5.8026466,0.8695652173913043
028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,61,3.981656,4.9842806,0.7049180327868853
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,2214,4.500988,5.6195917,0.7276422764227642
