cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
297,0401 CA2-FC-IG Glut_2,0101 CA2-FC-IG Glut_2,025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,1,4.2607727,4.2607727,1.0
303,0338 L2/3 IT PPP Glut_3,0086 L2/3 IT PPP Glut_3,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,2,5.8297005,5.8297005,1.0
304,0339 L2/3 IT PPP Glut_3,0086 L2/3 IT PPP Glut_3,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,1,4.8106656,4.8106656,1.0
328,0262 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,75,3.895805,4.6555634,0.76
329,0263 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,16,3.7992115,4.1384525,0.8125
343,0289 CA1-ProS Glut_5,0073 CA1-ProS Glut_5,016 CA1-ProS Glut,01 IT-ET Glut,Glut,2,4.0103827,4.0103827,1.0
346,0271 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
348,0272 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,2,5.0090485,5.0090485,1.0
350,0284 CA1-ProS Glut_4,0072 CA1-ProS Glut_4,016 CA1-ProS Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
352,0273 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,5,3.893721,4.243937,0.8
353,0274 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,3,1.7076497,0.0,0.3333333333333333
354,0286 CA1-ProS Glut_4,0072 CA1-ProS Glut_4,016 CA1-ProS Glut,01 IT-ET Glut,Glut,5,2.7784336,4.4300346,0.6
358,0269 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,4,3.5024462,4.020959,0.75
359,0270 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,1,5.115004,5.115004,1.0
361,0275 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,3,3.1786578,4.411696,0.6666666666666666
364,0281 CA1-ProS Glut_3,0071 CA1-ProS Glut_3,016 CA1-ProS Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
415,0303 CA3 Glut_2,0076 CA3 Glut_2,017 CA3 Glut,01 IT-ET Glut,Glut,2,2.249264,2.249264,0.5
418,0317 CA3 Glut_5,0079 CA3 Glut_5,017 CA3 Glut,01 IT-ET Glut,Glut,2,5.6597366,5.6597366,1.0
419,0313 CA3 Glut_4,0078 CA3 Glut_4,017 CA3 Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
420,0314 CA3 Glut_4,0078 CA3 Glut_4,017 CA3 Glut,01 IT-ET Glut,Glut,2,4.152935,4.152935,1.0
421,0315 CA3 Glut_4,0078 CA3 Glut_4,017 CA3 Glut,01 IT-ET Glut,Glut,1,4.7053385,4.7053385,1.0
422,0296 CA3 Glut_1,0075 CA3 Glut_1,017 CA3 Glut,01 IT-ET Glut,Glut,4,3.5114546,4.401862,0.75
423,0312 CA3 Glut_3,0077 CA3 Glut_3,017 CA3 Glut,01 IT-ET Glut,Glut,1,3.8944645,3.8944645,1.0
424,0307 CA3 Glut_3,0077 CA3 Glut_3,017 CA3 Glut,01 IT-ET Glut,Glut,1,5.71326,5.71326,1.0
426,0304 CA3 Glut_2,0076 CA3 Glut_2,017 CA3 Glut,01 IT-ET Glut,Glut,1,4.885077,4.885077,1.0
432,0309 CA3 Glut_3,0077 CA3 Glut_3,017 CA3 Glut,01 IT-ET Glut,Glut,3,2.9992115,3.7348785,0.6666666666666666
536,0785 Sst Gaba_6,0219 Sst Gaba_6,053 Sst Gaba,07 CTX-MGE GABA,GABA,2,2.0261388,2.0261388,0.5
537,0786 Sst Gaba_6,0219 Sst Gaba_6,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,0.0,0.0,0.0
543,0772 Sst Gaba_3,0216 Sst Gaba_3,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,4.8668227,4.8668227,1.0
608,0737 Pvalb Gaba_2,0206 Pvalb Gaba_2,052 Pvalb Gaba,07 CTX-MGE GABA,GABA,1,5.592075,5.592075,1.0
613,0732 Pvalb chandelier Gaba_1,0204 Pvalb chandelier Gaba_1,051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,3,2.863273,4.132813,0.6666666666666666
614,0733 Pvalb chandelier Gaba_1,0204 Pvalb chandelier Gaba_1,051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,1,5.1399393,5.1399393,1.0
615,0638 Vip Gaba_4,0176 Vip Gaba_4,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,5.4554553,5.4554553,1.0
616,0661 Vip Gaba_11,0183 Vip Gaba_11,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
625,0676 Sncg Gaba_3,0187 Sncg Gaba_3,047 Sncg Gaba,06 CTX-CGE GABA,GABA,2,2.5479038,2.5479038,0.5
630,0641 Vip Gaba_5,0177 Vip Gaba_5,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,6.19402,6.19402,1.0
633,0627 Vip Gaba_2,0174 Vip Gaba_2,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
635,0629 Vip Gaba_2,0174 Vip Gaba_2,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
642,0669 Sncg Gaba_2,0186 Sncg Gaba_2,047 Sncg Gaba,06 CTX-CGE GABA,GABA,1,7.207921,7.207921,1.0
644,0654 Vip Gaba_9,0181 Vip Gaba_9,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,4.44935,4.44935,1.0
647,0650 Vip Gaba_7,0179 Vip Gaba_7,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
650,0651 Vip Gaba_7,0179 Vip Gaba_7,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
665,0679 Sncg Gaba_5,0189 Sncg Gaba_5,047 Sncg Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
668,0697 RHP-COA Ndnf Gaba_4,0196 RHP-COA Ndnf Gaba_4,048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,Glut-GABA,1,5.5043554,5.5043554,1.0
669,0698 RHP-COA Ndnf Gaba_4,0196 RHP-COA Ndnf Gaba_4,048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,1,5.7742276,5.7742276,1.0
670,0686 RHP-COA Ndnf Gaba_1,0193 RHP-COA Ndnf Gaba_1,048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
676,0703 RHP-COA Ndnf Gaba_5,0197 RHP-COA Ndnf Gaba_5,048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,1,3.8530235,3.8530235,1.0
678,0687 RHP-COA Ndnf Gaba_1,0193 RHP-COA Ndnf Gaba_1,048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
684,0678 Sncg Gaba_4,0188 Sncg Gaba_4,047 Sncg Gaba,06 CTX-CGE GABA,Glut-GABA,1,0.0,0.0,0.0
686,0625 Vip Gaba_1,0173 Vip Gaba_1,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,5.7710733,5.7710733,1.0
689,0666 Sncg Gaba_1,0185 Sncg Gaba_1,047 Sncg Gaba,06 CTX-CGE GABA,GABA,1,3.808053,3.808053,1.0
703,0708 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,15,3.392949,5.207473,0.6
705,0710 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,2,6.5842485,6.5842485,1.0
714,0718 Lamp5 Gaba_2,0200 Lamp5 Gaba_2,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,1,6.661787,6.661787,1.0
726,0731 Lamp5 Lhx6 Gaba_1,0203 Lamp5 Lhx6 Gaba_1,050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,1,4.830543,4.830543,1.0
727,0728 Lamp5 Lhx6 Gaba_1,0203 Lamp5 Lhx6 Gaba_1,050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,1,0.0,0.0,0.0
729,0726 Lamp5 Lhx6 Gaba_1,0203 Lamp5 Lhx6 Gaba_1,050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,2,2.3910456,2.3910456,0.5
1303,0561 OB-in Frmd7 Gaba_5,0154 OB-in Frmd7 Gaba_5,041 OB-in Frmd7 Gaba,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
1367,0598 OB-STR-CTX Inh IMN_1,0166 OB-STR-CTX Inh IMN_1,045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,1,7.0797005,7.0797005,1.0
1372,0513 DG-PIR Ex IMN_2,0141 DG-PIR Ex IMN_2,038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,2,0.0,0.0,0.0
1399,0503 DG Glut_1,0136 DG Glut_1,037 DG Glut,04 DG-IMN Glut,Glut,1,7.333155,7.333155,1.0
1403,0505 DG Glut_2,0137 DG Glut_2,037 DG Glut,04 DG-IMN Glut,Glut,1,0.0,0.0,0.0
1405,0507 DG Glut_2,0137 DG Glut_2,037 DG Glut,04 DG-IMN Glut,Glut,3,1.635115,0.0,0.3333333333333333
1407,0510 DG Glut_4,0139 DG Glut_4,037 DG Glut,04 DG-IMN Glut,Glut,3,0.0,0.0,0.0
1525,1548 BST-MPN Six3 Nrgn Gaba_4,0423 BST-MPN Six3 Nrgn Gaba_4,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,1,5.411578,5.411578,1.0
1615,2064 MS-SF Bsx Glut_1,0518 MS-SF Bsx Glut_1,115 MS-SF Bsx Glut,13 CNU-HYa Glut,Glut,1,5.3298798,5.3298798,1.0
1648,1715 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1649,1730 ZI Pax6 Gaba_3,0461 ZI Pax6 Gaba_3,101 ZI Pax6 Gaba,12 HY GABA,GABA,2,2.7753043,2.7753043,0.5
1655,1815 PVHd-DMH Lhx6 Gaba_1,0474 PVHd-DMH Lhx6 Gaba_1,103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,1,7.75016,7.75016,1.0
1657,1832 PVHd-DMH Lhx6 Gaba_3,0476 PVHd-DMH Lhx6 Gaba_3,103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,2,6.3592253,6.3592253,1.0
1658,1717 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,13,5.0529323,5.8302846,0.8461538461538461
1659,1731 ZI Pax6 Gaba_3,0461 ZI Pax6 Gaba_3,101 ZI Pax6 Gaba,12 HY GABA,GABA,4,5.867216,5.9756775,1.0
1662,1718 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,3,1.8754834,0.0,0.3333333333333333
1664,1818 PVHd-DMH Lhx6 Gaba_1,0474 PVHd-DMH Lhx6 Gaba_1,103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,1,6.2751694,6.2751694,1.0
1668,1721 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1669,1820 PVHd-DMH Lhx6 Gaba_1,0474 PVHd-DMH Lhx6 Gaba_1,103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,18,5.1560564,5.4634805,0.8888888888888888
1670,1722 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,4,6.468871,6.4783325,1.0
1673,1833 PVHd-DMH Lhx6 Gaba_3,0476 PVHd-DMH Lhx6 Gaba_3,103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,1,7.570888,7.570888,1.0
1694,1752 ZI Pax6 Gaba_6,0464 ZI Pax6 Gaba_6,101 ZI Pax6 Gaba,12 HY GABA,GABA,3,6.560314,6.404222,1.0
1700,1741 ZI Pax6 Gaba_4,0462 ZI Pax6 Gaba_4,101 ZI Pax6 Gaba,12 HY GABA,GABA,5,6.493641,6.3605194,1.0
1703,1744 ZI Pax6 Gaba_4,0462 ZI Pax6 Gaba_4,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,4.6921425,4.6921425,1.0
1704,1753 ZI Pax6 Gaba_6,0464 ZI Pax6 Gaba_6,101 ZI Pax6 Gaba,12 HY GABA,GABA,9,5.23074,5.632896,0.8888888888888888
