subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
016 CA1-ProS Glut,01 IT-ET Glut,Glut,119,3.681984,4.292131,0.7394957983193278
017 CA3 Glut,01 IT-ET Glut,Glut,18,3.6869702,4.5285654,0.7777777777777778
019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,3,5.490022,5.6422057,1.0
025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,1,4.2607727,4.2607727,1.0
036 HPF CR Glut,03 OB-CR Glut,Glut,10,2.2504447,0.0,0.3
037 DG Glut,04 DG-IMN Glut,Glut,8,1.5298126,0.0,0.25
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,2,0.0,0.0,0.0
041 OB-in Frmd7 Gaba,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,1,7.0797005,7.0797005,1.0
046 Vip Gaba,06 CTX-CGE GABA,GABA,9,2.4299886,0.0,0.4444444444444444
047 Sncg Gaba,06 CTX-CGE GABA,GABA,5,3.2223563,3.808053,0.6
047 Sncg Gaba,06 CTX-CGE GABA,Glut-GABA,1,0.0,0.0,0.0
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,4,2.4068127,1.9265118,0.5
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,Glut-GABA,1,5.5043554,5.5043554,1.0
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,18,3.9291403,5.2939296,0.6666666666666666
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,4,2.4031587,2.3910456,0.5
051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,4,3.4324396,4.2949095,0.75
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,1,5.592075,5.592075,1.0
053 Sst Gaba,07 CTX-MGE GABA,GABA,4,2.229775,2.0261388,0.5
090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,1,5.411578,5.411578,1.0
093 RT-ZI Gnb3 Gaba,12 HY GABA,GABA,62,4.062933,5.2708955,0.6935483870967742
097 PVHd-SBPV Six3 Prox1 Gaba,12 HY GABA,GABA,4,4.427463,5.5485034,0.75
101 ZI Pax6 Gaba,12 HY GABA,GABA,130,5.129277,5.9914646,0.8384615384615385
102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,9,5.2983932,5.9120817,0.8888888888888888
103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,23,5.5271163,6.1158314,0.9130434782608695
109 LGv-ZI Otx2 Gaba,12 HY GABA,GABA,11,4.000858,5.1211004,0.7272727272727273
112 GPi Tbr1 Cngb3 Gaba-Glut,13 CNU-HYa Glut,Glut-GABA,2,2.7417119,2.7417119,0.5
114 COAa-PAA-MEA Barhl2 Glut,13 CNU-HYa Glut,Glut,1,5.107035,5.107035,1.0
115 MS-SF Bsx Glut,13 CNU-HYa Glut,Glut,1,5.3298798,5.3298798,1.0
117 LHA Barhl2 Glut,13 CNU-HYa Glut,Glut,1,5.2383986,5.2383986,1.0
124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,1,0.0,0.0,0.0
125 DMH Hmx2 Glut,14 HY Glut,Glut-GABA,1,7.03348,7.03348,1.0
129 VMH Nr5a1 Glut,14 HY Glut,Glut,1,7.085127,7.085127,1.0
131 LHA-AHN-PVH Otp Trh Glut,14 HY Glut,Glut,1,3.782407,3.782407,1.0
132 AHN-RCH-LHA Otp Fezf1 Glut,14 HY Glut,Glut,3,4.3477387,6.076809,0.6666666666666666
133 PVH-SO-PVa Otp Glut,14 HY Glut,Glut,1,5.9990625,5.9990625,1.0
134 PH-ant-LHA Otp Bsx Glut,14 HY Glut,Glut,8,5.856237,5.7309437,1.0
135 STN-PSTN Pitx2 Glut,14 HY Glut,Glut,397,4.9012003,5.666615,0.8337531486146096
136 PMv-TMv Pitx2 Glut,14 HY Glut,Glut,2,2.0724778,2.0724778,0.5
137 PH-an Pitx2 Glut,14 HY Glut,Glut,1,6.667419,6.667419,1.0
138 PH Pitx2 Glut,14 HY Glut,Dopa,5,4.556547,5.711586,0.8
138 PH Pitx2 Glut,14 HY Glut,Glut,159,4.178596,5.31498,0.710691823899371
139 PH-LHA Foxb1 Glut,14 HY Glut,Glut,142,5.124322,6.058853,0.8380281690140845
140 PMd-LHA Foxb1 Glut,14 HY Glut,Glut,1,6.9342847,6.9342847,1.0
141 PH-SUM Foxa1 Glut,14 HY Glut,Glut,114,4.6906047,5.610432,0.7807017543859649
141 PH-SUM Foxa1 Glut,14 HY Glut,Glut-GABA,5,2.8160918,3.972141,0.6
145 MH Tac2 Glut,17 MH-LH Glut,Chol,16,7.2138696,7.7012196,0.9375
145 MH Tac2 Glut,17 MH-LH Glut,Glut,8,7.6366987,7.711808,1.0
146 LH Pou4f1 Sox1 Glut,17 MH-LH Glut,Glut,10,4.24997,5.1971326,0.7
149 PVT-PT Ntrk1 Glut,18 TH Glut,Glut,11,4.9396205,5.3908887,0.9090909090909091
150 CM-IAD-CL-PCN Sema5b Glut,18 TH Glut,Glut,1,5.276924,5.276924,1.0
151 TH Prkcd Grin2c Glut,18 TH Glut,Glut,198,4.0352306,5.2778616,0.6717171717171717
153 MG-POL-SGN Nts Glut,18 TH Glut,Glut,3,4.5830674,6.637875,0.6666666666666666
154 PF Fzd5 Glut,18 TH Glut,Glut,132,5.1229596,5.792648,0.8636363636363636
155 PRC-PAG Pax6 Glut,19 MB Glut,Glut,2125,4.4235797,5.6465373,0.7204705882352941
156 MB-ant-ve Dmrta2 Glut,19 MB Glut,Glut,438,5.1079197,5.86795,0.8493150684931506
158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut,276,4.7601385,5.8126507,0.7753623188405797
158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut-GABA,61,4.250944,5.461453,0.6885245901639344
159 IF-RL-CLI-PAG Foxa1 Glut,19 MB Glut,Dopa,516,4.4744563,5.765126,0.7151162790697675
159 IF-RL-CLI-PAG Foxa1 Glut,19 MB Glut,Glut,948,4.559098,5.71095,0.7362869198312236
160 PAG-SC Neurod2 Meis2 Glut,19 MB Glut,Glut,2196,5.015308,6.123775,0.7809653916211293
161 PAG Pou4f3 Glut,19 MB Glut,Glut,3088,4.744171,5.84198,0.7642487046632125
162 CUN Evx2 Lhx2 Glut,19 MB Glut,Glut,2291,4.8021255,5.820154,0.7782627673505019
163 APN C1ql2 Glut,19 MB Glut,Glut,2151,4.2536407,5.622283,0.6875871687587168
164 APN C1ql4 Glut,19 MB Glut,Glut,2001,5.089021,6.1219773,0.7951024487756122
165 PAG-MRN Pou3f1 Glut,19 MB Glut,Glut,3113,4.5117006,5.548117,0.7574686797301639
166 MRN Pou3f1 C1ql4 Glut,19 MB Glut,Glut,534,4.8301444,5.758017,0.797752808988764
167 PRC-PAG Tcf7l2 Irx2 Glut,19 MB Glut,Glut,2485,4.6618624,5.7994533,0.7549295774647887
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,19 MB Glut,Glut,1693,4.6006384,5.6262445,0.7619610159480212
169 PAG-SC Pou4f1 Zic1 Glut,19 MB Glut,Glut,4134,4.5148087,5.650279,0.7409288824383164
