cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1651,1780 ZI Pax6 Gaba_10,0468 ZI Pax6 Gaba_10,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1658,1717 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,3,1.6256281,0.0,0.3333333333333333
1694,1752 ZI Pax6 Gaba_6,0464 ZI Pax6 Gaba_6,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,4.340432,4.340432,1.0
1729,1768 ZI Pax6 Gaba_8,0466 ZI Pax6 Gaba_8,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,4.9081755,4.9081755,1.0
1758,1736 ZI Pax6 Gaba_3,0461 ZI Pax6 Gaba_3,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,4.8157964,4.8157964,1.0
2124,2505 PH-LHA Foxb1 Glut_2,0613 PH-LHA Foxb1 Glut_2,139 PH-LHA Foxb1 Glut,14 HY Glut,Glut,1,4.930174,4.930174,1.0
2141,2389 PH-ant-LHA Otp Bsx Glut_1,0591 PH-ant-LHA Otp Bsx Glut_1,134 PH-ant-LHA Otp Bsx Glut,14 HY Glut,Glut,1,7.385722,7.385722,1.0
2159,5066 MV Nr4a2 Gly-Gaba_1,1127 MV Nr4a2 Gly-Gaba_1,301 MV Nr4a2 Gly-Gaba,27 MY GABA,Dopa,17,3.6330843,5.205053,0.6470588235294118
2160,5067 MV Xdh Gly-Gaba_1,1128 MV Xdh Gly-Gaba_1,302 MV Xdh Gly-Gaba,27 MY GABA,GABA-Glyc,38,4.2720456,5.691079,0.7105263157894737
2161,2763 MRN-PAG Nkx6-1 Glut_1,0683 MRN-PAG Nkx6-1 Glut_1,158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut-GABA,2,2.5704982,2.5704982,0.5
2171,4949 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,1101 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA,2,6.8985543,6.8985543,1.0
2172,4935 MV-SPIV-PRP Dmbx1 Gly-Gaba_1,1099 MV-SPIV-PRP Dmbx1 Gly-Gaba_1,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA,18,5.0341535,5.7752037,0.8333333333333334
2173,5000 CBN Dmbx1 Gaba_1,1115 CBN Dmbx1 Gaba_1,295 CBN Dmbx1 Gaba,27 MY GABA,GABA,51,4.3454137,5.939463,0.7058823529411765
2174,5001 CBN Dmbx1 Gaba_1,1115 CBN Dmbx1 Gaba_1,295 CBN Dmbx1 Gaba,27 MY GABA,GABA,1,5.632071,5.632071,1.0
2175,2754 MB-ant-ve Dmrta2 Glut_1,0681 MB-ant-ve Dmrta2 Glut_1,156 MB-ant-ve Dmrta2 Glut,19 MB Glut,Glut,1,5.5895243,5.5895243,1.0
2200,2485 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,2,5.8911924,5.8911924,1.0
2305,2730 PRC-PAG Pax6 Glut_1,0676 PRC-PAG Pax6 Glut_1,155 PRC-PAG Pax6 Glut,19 MB Glut,Glut,1,5.5961347,5.5961347,1.0
2570,4142 PRNc-PARN Tlx1 Glut_3,0937 PRNc-PARN Tlx1 Glut_3,226 PRNc-PARN Tlx1 Glut,23 P Glut,Glut,42,3.6485484,5.0837917,0.6428571428571429
2606,4075 PB Evx2 Glut_7,0920 PB Evx2 Glut_7,222 PB Evx2 Glut,23 P Glut,Glut,3,3.9445133,5.405774,0.6666666666666666
2607,4021 PB Evx2 Glut_1,0914 PB Evx2 Glut_1,222 PB Evx2 Glut,23 P Glut,Glut,11,3.120781,4.7876687,0.5454545454545454
2618,4018 PB Evx2 Glut_1,0914 PB Evx2 Glut_1,222 PB Evx2 Glut,23 P Glut,Glut,2,5.1500177,5.1500177,1.0
2619,4072 PB Evx2 Glut_7,0920 PB Evx2 Glut_7,222 PB Evx2 Glut,23 P Glut,Glut,1,7.121814,7.121814,1.0
2620,4022 PB Evx2 Glut_1,0914 PB Evx2 Glut_1,222 PB Evx2 Glut,23 P Glut,Glut,13,2.9829156,0.0,0.46153846153846156
2625,4061 PB Evx2 Glut_5,0918 PB Evx2 Glut_5,222 PB Evx2 Glut,23 P Glut,Glut,15,4.910483,5.520721,0.8666666666666667
2626,4019 PB Evx2 Glut_1,0914 PB Evx2 Glut_1,222 PB Evx2 Glut,23 P Glut,Glut,11,5.8057356,6.4333982,0.9090909090909091
2632,4042 PB Evx2 Glut_3,0916 PB Evx2 Glut_3,222 PB Evx2 Glut,23 P Glut,Glut,1,5.301943,5.301943,1.0
