subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
101 ZI Pax6 Gaba,12 HY GABA,GABA,7,2.7058983,4.340432,0.5714285714285714
117 LHA Barhl2 Glut,13 CNU-HYa Glut,Glut,1,7.6445208,7.6445208,1.0
134 PH-ant-LHA Otp Bsx Glut,14 HY Glut,Glut,1,7.385722,7.385722,1.0
138 PH Pitx2 Glut,14 HY Glut,Glut,2,5.8911924,5.8911924,1.0
139 PH-LHA Foxb1 Glut,14 HY Glut,Glut,1,4.930174,4.930174,1.0
155 PRC-PAG Pax6 Glut,19 MB Glut,Glut,2,5.7368793,5.7368793,1.0
156 MB-ant-ve Dmrta2 Glut,19 MB Glut,Glut,1,5.5895243,5.5895243,1.0
158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut-GABA,2,2.5704982,2.5704982,0.5
160 PAG-SC Neurod2 Meis2 Glut,19 MB Glut,Glut,4,1.8547896,0.0,0.25
165 PAG-MRN Pou3f1 Glut,19 MB Glut,Glut,2,2.5959346,2.5959346,0.5
167 PRC-PAG Tcf7l2 Irx2 Glut,19 MB Glut,Glut,1,0.0,0.0,0.0
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,19 MB Glut,Glut,1,6.7711606,6.7711606,1.0
169 PAG-SC Pou4f1 Zic1 Glut,19 MB Glut,Glut,1,0.0,0.0,0.0
170 PAG-MRN Tfap2b Glut,19 MB Glut,Glut,2,5.8543177,5.8543177,1.0
180 SCiw Pitx2 Glut,19 MB Glut,Glut,15,5.1136303,6.247109,0.8
181 IC Tfap2d Maf Glut,19 MB Glut,Glut,1,0.0,0.0,0.0
182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Dopa,2,2.3575077,2.3575077,0.5
182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Glut,1,6.753633,6.753633,1.0
191 PAG-MRN Rln3 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,2,3.3702006,3.3702006,0.5
193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,2,5.129315,5.129315,1.0
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
