subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,54,1.5891352,0.0,0.3148148148148148
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,148,2.599999,4.007628,0.5202702702702703
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,Glut,10,2.4217618,1.9398372,0.5
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,6,1.5782322,0.0,0.3333333333333333
005 L5 IT CTX Glut,01 IT-ET Glut,Glut,7,4.094225,5.0896378,0.7142857142857143
006 L4/5 IT CTX Glut,01 IT-ET Glut,Glut,6,2.7380028,2.0626142,0.5
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,118,2.4847317,0.0,0.4915254237288136
008 L2/3 IT ENT Glut,01 IT-ET Glut,Glut,86,3.2192047,4.2379947,0.6511627906976745
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,7068,2.5752697,0.0,0.4808998302207131
010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,3144,3.468793,4.7775464,0.6157760814249363
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,240,2.8218427,4.207185,0.5166666666666667
013 COAp Grxcr2 Glut,01 IT-ET Glut,Glut,582,2.641519,0.0,0.48109965635738833
014 LA-BLA-BMA-PA Glut,01 IT-ET Glut,Glut,310,3.0553203,4.5028715,0.5548387096774193
015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,39,2.6704729,0.0,0.46153846153846156
016 CA1-ProS Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
022 L5 ET CTX Glut,01 IT-ET Glut,Glut,46,3.0526392,4.248466,0.6086956521739131
023 SUB-ProS Glut,01 IT-ET Glut,Glut,1,6.3832,6.3832,1.0
025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,9,1.6642547,0.0,0.3333333333333333
026 NLOT Rho Glut,01 IT-ET Glut,Glut,25,2.923754,4.232898,0.56
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,61,3.7939436,4.859573,0.6721311475409836
028 L6b/CT ENT Glut,02 NP-CT-L6b Glut,Glut,13,4.320169,4.912839,0.7692307692307693
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,17,5.083669,6.315189,0.7647058823529411
