cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
33,0431 L6b CTX Glut_3,0112 L6b CTX Glut_3,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,2,6.0904284,6.0904284,1.0
124,0022 IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,002 IT EP-CLA Glut,01 IT-ET Glut,Glut,2,2.5504422,2.5504422,0.5
142,0043 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
261,0156 L2/3 IT PIR-ENTl Glut_4,0042 L2/3 IT PIR-ENTl Glut_4,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
262,0157 L2/3 IT PIR-ENTl Glut_4,0042 L2/3 IT PIR-ENTl Glut_4,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1,4.826003,4.826003,1.0
265,0150 L2/3 IT PIR-ENTl Glut_3,0041 L2/3 IT PIR-ENTl Glut_3,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
269,0168 IT AON-TT-DP Glut_1,0046 IT AON-TT-DP Glut_1,010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,3,1.9198726,0.0,0.3333333333333333
270,0165 L2/3 IT PIR-ENTl Glut_7,0045 L2/3 IT PIR-ENTl Glut_7,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,5,2.2519124,0.0,0.4
271,0144 L2/3 IT PIR-ENTl Glut_2,0040 L2/3 IT PIR-ENTl Glut_2,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,31,2.8247755,4.6669126,0.5161290322580645
273,0146 L2/3 IT PIR-ENTl Glut_2,0040 L2/3 IT PIR-ENTl Glut_2,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1,6.5546803,6.5546803,1.0
275,0148 L2/3 IT PIR-ENTl Glut_2,0040 L2/3 IT PIR-ENTl Glut_2,009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
284,0173 IT AON-TT-DP Glut_2,0047 IT AON-TT-DP Glut_2,010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,2,2.4282165,2.4282165,0.5
285,0180 IT AON-TT-DP Glut_4,0049 IT AON-TT-DP Glut_4,010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,11,3.5376854,4.905951,0.6363636363636364
286,0181 IT AON-TT-DP Glut_4,0049 IT AON-TT-DP Glut_4,010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,5,4.364766,5.178021,0.8
288,0170 IT AON-TT-DP Glut_1,0046 IT AON-TT-DP Glut_1,010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,7,0.6964098,0.0,0.14285714285714285
290,0174 IT AON-TT-DP Glut_2,0047 IT AON-TT-DP Glut_2,010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,1,4.820018,4.820018,1.0
484,0204 MEA Slc17a7 Glut_2,0056 MEA Slc17a7 Glut_2,012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,6,2.1247957,0.0,0.3333333333333333
485,0205 MEA Slc17a7 Glut_2,0056 MEA Slc17a7 Glut_2,012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,3,1.9907435,0.0,0.3333333333333333
486,0202 MEA Slc17a7 Glut_2,0056 MEA Slc17a7 Glut_2,012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,2,5.9995074,5.9995074,1.0
492,0818 Sst Gaba_16,0229 Sst Gaba_16,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,6.1176305,6.1176305,1.0
503,0811 Sst Gaba_13,0226 Sst Gaba_13,053 Sst Gaba,07 CTX-MGE GABA,GABA,2,5.32627,5.32627,1.0
504,0783 Sst Gaba_5,0218 Sst Gaba_5,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,4.9628663,4.9628663,1.0
516,0825 Sst Gaba_18,0231 Sst Gaba_18,053 Sst Gaba,07 CTX-MGE GABA,GABA,7,4.0834174,5.579023,0.7142857142857143
518,0763 Sst Gaba_2,0215 Sst Gaba_2,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,6.438279,6.438279,1.0
520,0858 Sst Chodl Gaba_4,0241 Sst Chodl Gaba_4,056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,3,4.327261,5.953196,0.6666666666666666
