subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,2,2.5504422,2.5504422,0.5
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,41,2.6880069,0.0,0.4878048780487805
010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,29,2.7948034,3.8886724,0.5172413793103449
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,97,2.8127537,0.0,0.4536082474226804
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,2,6.0904284,6.0904284,1.0
035 OB Eomes Ms4a15 Glut,03 OB-CR Glut,Glut,3,6.7269096,6.665659,1.0
036 HPF CR Glut,03 OB-CR Glut,Glut,61,2.1949782,0.0,0.3114754098360656
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,1,0.0,0.0,0.0
039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,48,2.409866,0.0,0.3333333333333333
040 OB Trdn Gaba,05 OB-IMN GABA,GABA,3,0.0,0.0,0.0
041 OB-in Frmd7 Gaba,05 OB-IMN GABA,GABA,15,1.3015012,0.0,0.2
042 OB-out Frmd7 Gaba,05 OB-IMN GABA,GABA,16,1.0419421,0.0,0.125
043 OB-mi Frmd7 Gaba,05 OB-IMN GABA,GABA,12,1.8166345,0.0,0.25
044 OB Dopa-Gaba,05 OB-IMN GABA,Dopa,28,2.6289234,0.0,0.39285714285714285
044 OB Dopa-Gaba,05 OB-IMN GABA,GABA,41,2.4917147,0.0,0.34146341463414637
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,21,2.033108,0.0,0.3333333333333333
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,GABA,15,0.0,0.0,0.0
046 Vip Gaba,06 CTX-CGE GABA,GABA,152,2.0745447,0.0,0.34210526315789475
047 Sncg Gaba,06 CTX-CGE GABA,GABA,15,1.4197103,0.0,0.26666666666666666
047 Sncg Gaba,06 CTX-CGE GABA,Glut-GABA,1,0.0,0.0,0.0
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,3,1.7045693,0.0,0.3333333333333333
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,91,2.0596807,0.0,0.37362637362637363
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,6,0.9504325,0.0,0.16666666666666666
051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,1,5.306926,5.306926,1.0
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,7,3.9647975,4.878111,0.7142857142857143
053 Sst Gaba,07 CTX-MGE GABA,GABA,49,3.8964043,5.3422675,0.6530612244897959
054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,219,3.512426,5.232296,0.5753424657534246
055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,684,3.5332806,5.229063,0.5760233918128655
056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,960,4.0179195,5.4951363,0.6572916666666667
057 NDB-SI-MA-STRv Lhx8 Gaba,08 CNU-MGE GABA,GABA,5327,4.083175,5.347008,0.6887553970339778
058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,Chol,562,3.6513312,4.784045,0.6868327402135231
058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,222,3.7329078,5.2398667,0.6261261261261262
059 GPe-SI Sox6 Cyp26b1 Gaba,09 CNU-LGE GABA,GABA,1106,3.4795482,4.9689507,0.6075949367088608
060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,4471,3.1006765,0.0,0.438380675464102
061 STR D1 Gaba,09 CNU-LGE GABA,GABA,5851,3.0030463,4.351493,0.512732866176722
062 STR D2 Gaba,09 CNU-LGE GABA,GABA,4970,2.4720216,0.0,0.42354124748490946
063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,3109,3.120766,4.655362,0.5117401093599228
064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,4603,2.7317042,0.0,0.4166847708016511
065 IA Mgp Gaba,09 CNU-LGE GABA,GABA,96,1.9255577,0.0,0.3020833333333333
066 NDB-SI-ant Prdm12 Gaba,11 CNU-HYa GABA,GABA,985,2.9472034,4.2425647,0.5197969543147208
067 LSX Sall3 Pax6 Gaba,10 LSX GABA,GABA,64,2.3206396,0.0,0.390625
068 LSX Otx2 Gaba,10 LSX GABA,GABA,306,2.9800763,0.0,0.48366013071895425
069 LSX Nkx2-1 Gaba,10 LSX GABA,GABA,300,2.9453945,0.0,0.47333333333333333
070 LSX Prdm12 Slit2 Gaba,10 LSX GABA,GABA,119,2.881511,0.0,0.4789915966386555
071 LSX Prdm12 Zeb2 Gaba,10 LSX GABA,GABA,59,2.764853,0.0,0.4576271186440678
