cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
232,0109 L2/3 IT CTX Glut_2,0030 L2/3 IT CTX Glut_2,007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,2,2.6217072,2.6217072,0.5
705,0710 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,1,4.7307796,4.7307796,1.0
714,0718 Lamp5 Gaba_2,0200 Lamp5 Gaba_2,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,1,7.0350165,7.0350165,1.0
1194,0939 OT D3 Folh1 Gaba_1,0262 OT D3 Folh1 Gaba_1,060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,5,2.717924,0.0,0.4
1281,0617 OB-STR-CTX Inh IMN_5,0170 OB-STR-CTX Inh IMN_5,045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
1648,1715 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,2,6.042295,6.042295,1.0
1651,1780 ZI Pax6 Gaba_10,0468 ZI Pax6 Gaba_10,101 ZI Pax6 Gaba,12 HY GABA,GABA,3,4.6443787,6.845723,0.6666666666666666
1655,1815 PVHd-DMH Lhx6 Gaba_1,0474 PVHd-DMH Lhx6 Gaba_1,103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,1,5.9259706,5.9259706,1.0
1658,1717 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,41,5.326754,5.775408,0.9024390243902439
1662,1718 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,6.129782,6.129782,1.0
1694,1752 ZI Pax6 Gaba_6,0464 ZI Pax6 Gaba_6,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,4.20473,4.20473,1.0
1697,1726 ZI Pax6 Gaba_2,0460 ZI Pax6 Gaba_2,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1709,1745 ZI Pax6 Gaba_4,0462 ZI Pax6 Gaba_4,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,5.2845364,5.2845364,1.0
1717,1747 ZI Pax6 Gaba_4,0462 ZI Pax6 Gaba_4,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,5.3683195,5.3683195,1.0
1738,1630 PVHd-SBPV Six3 Prox1 Gaba_1,0442 PVHd-SBPV Six3 Prox1 Gaba_1,097 PVHd-SBPV Six3 Prox1 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1739,1631 PVHd-SBPV Six3 Prox1 Gaba_1,0442 PVHd-SBPV Six3 Prox1 Gaba_1,097 PVHd-SBPV Six3 Prox1 Gaba,12 HY GABA,GABA,3,6.398398,6.405416,1.0
1757,1980 LGv-ZI Otx2 Gaba_4,0499 LGv-ZI Otx2 Gaba_4,109 LGv-ZI Otx2 Gaba,12 HY GABA,GABA,1,6.847763,6.847763,1.0
1775,1724 ZI Pax6 Gaba_1,0459 ZI Pax6 Gaba_1,101 ZI Pax6 Gaba,12 HY GABA,GABA,1,5.606144,5.606144,1.0
1778,1983 LGv-ZI Otx2 Gaba_4,0499 LGv-ZI Otx2 Gaba_4,109 LGv-ZI Otx2 Gaba,12 HY GABA,GABA,1,7.4460106,7.4460106,1.0
1946,2289 DMH-LHA Vgll2 Glut_4,0562 DMH-LHA Vgll2 Glut_4,127 DMH-LHA Vgll2 Glut,14 HY Glut,Glut,1,0.0,0.0,0.0
1950,2271 DMH Hmx2 Glut_1,0552 DMH Hmx2 Glut_1,125 DMH Hmx2 Glut,14 HY Glut,Glut,1,5.479881,5.479881,1.0
2141,2389 PH-ant-LHA Otp Bsx Glut_1,0591 PH-ant-LHA Otp Bsx Glut_1,134 PH-ant-LHA Otp Bsx Glut,14 HY Glut,Glut,5,4.604683,5.717199,0.8
2149,2762 MRN-PAG Nkx6-1 Glut_1,0683 MRN-PAG Nkx6-1 Glut_1,158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut,4,2.9674203,2.6427221,0.5
2159,5066 MV Nr4a2 Gly-Gaba_1,1127 MV Nr4a2 Gly-Gaba_1,301 MV Nr4a2 Gly-Gaba,27 MY GABA,Dopa,18,4.3842087,5.301819,0.7777777777777778
