subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,2,2.6217072,2.6217072,0.5
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,2,5.8828983,5.8828983,1.0
060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,5,2.717924,0.0,0.4
097 PVHd-SBPV Six3 Prox1 Gaba,12 HY GABA,GABA,4,4.7987986,6.2224135,0.75
101 ZI Pax6 Gaba,12 HY GABA,GABA,52,5.211695,5.6880674,0.8846153846153846
103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,1,5.9259706,5.9259706,1.0
109 LGv-ZI Otx2 Gaba,12 HY GABA,GABA,2,7.146887,7.146887,1.0
112 GPi Tbr1 Cngb3 Gaba-Glut,13 CNU-HYa Glut,Glut-GABA,1,6.7444034,6.7444034,1.0
117 LHA Barhl2 Glut,13 CNU-HYa Glut,Glut,2,6.3769255,6.3769255,1.0
125 DMH Hmx2 Glut,14 HY Glut,Glut,1,5.479881,5.479881,1.0
127 DMH-LHA Vgll2 Glut,14 HY Glut,Glut,1,0.0,0.0,0.0
132 AHN-RCH-LHA Otp Fezf1 Glut,14 HY Glut,Glut,1,5.551483,5.551483,1.0
134 PH-ant-LHA Otp Bsx Glut,14 HY Glut,Glut,6,4.8423467,5.730528,0.8333333333333334
138 PH Pitx2 Glut,14 HY Glut,Glut,3,5.115214,4.9460673,1.0
141 PH-SUM Foxa1 Glut,14 HY Glut,Glut,1,4.3558955,4.3558955,1.0
155 PRC-PAG Pax6 Glut,19 MB Glut,Glut,12,3.8111036,5.2976265,0.5833333333333334
156 MB-ant-ve Dmrta2 Glut,19 MB Glut,Glut,8,4.455118,4.884283,0.875
158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut,5,3.6180725,5.2854443,0.6
158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut-GABA,5,3.4569519,5.719977,0.6
160 PAG-SC Neurod2 Meis2 Glut,19 MB Glut,Glut,12,4.3318863,5.896532,0.6666666666666666
161 PAG Pou4f3 Glut,19 MB Glut,Glut,2,6.979638,6.979638,1.0
162 CUN Evx2 Lhx2 Glut,19 MB Glut,Glut,14,5.4935956,5.831589,0.9285714285714286
164 APN C1ql4 Glut,19 MB Glut,Glut,2,3.1702385,3.1702385,0.5
165 PAG-MRN Pou3f1 Glut,19 MB Glut,Glut,9,3.0148427,4.695006,0.5555555555555556
167 PRC-PAG Tcf7l2 Irx2 Glut,19 MB Glut,Glut,3,6.01481,6.0492153,1.0
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,19 MB Glut,Glut,3,6.044766,6.116415,1.0
169 PAG-SC Pou4f1 Zic1 Glut,19 MB Glut,Glut,4,4.93093,6.3258495,0.75
170 PAG-MRN Tfap2b Glut,19 MB Glut,Glut,20,4.1887584,5.584443,0.7
171 PAG Pou4f1 Bnc2 Glut,19 MB Glut,Glut,3,6.3610616,6.8957596,1.0
172 PAG Pou4f1 Ebf2 Glut,19 MB Glut,Glut,5,3.4818807,4.6886315,0.6
173 PAG Pou4f2 Glut,19 MB Glut,Glut,2,0.0,0.0,0.0
174 PAG Pou4f2 Mesi2 Glut,19 MB Glut,Glut,1,6.2817163,6.2817163,1.0
176 SCig Foxb1 Glut,19 MB Glut,Glut,1,0.0,0.0,0.0
179 SCdg-PAG Tfap2b Glut,19 MB Glut,Glut,1,4.974296,4.974296,1.0
180 SCiw Pitx2 Glut,19 MB Glut,Glut,8,6.277885,6.285962,1.0
181 IC Tfap2d Maf Glut,19 MB Glut,Glut,24,3.4675534,4.7893267,0.5833333333333334
182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Chol,74,4.220779,5.0338745,0.7972972972972973
182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Dopa,25,4.780307,5.4958067,0.84
182 CUN-PPN Evx2 Meis2 Glut,19 MB Glut,Glut,371,4.868457,5.6958175,0.8194070080862533
183 PBG Mtnr1a Glut-Chol,19 MB Glut,Chol,11,3.9367716,5.2143865,0.7272727272727273
185 SCig Tfap2b Chrnb3 Glut,19 MB Glut,Glut,1,0.0,0.0,0.0
186 SCop Pou4f2 Neurod2 Glut,19 MB Glut,Glut,1,4.7574015,4.7574015,1.0
187 SCsg Pde5a Glut,19 MB Glut,Glut,1,5.5534286,5.5534286,1.0
190 ND-INC Foxd2 Glut,19 MB Glut,Glut,2,6.7274,6.7274,1.0
191 PAG-MRN Rln3 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,550,4.698926,5.809706,0.7545454545454545
192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,Glut-GABA,20,4.7781587,5.5523663,0.8
193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,19,4.6400075,5.3652587,0.7894736842105263
193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA-Glyc,6,5.3936543,6.0953436,0.8333333333333334
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,20 MB GABA,GABA,66,4.8322835,5.524373,0.8484848484848485
195 SNr-VTA Pax5 Npas1 Gaba,20 MB GABA,GABA,4,3.3408098,3.1146207,0.5
196 PAG-PPN Pax5 Sox21 Gaba,20 MB GABA,GABA,16,4.673501,5.012473,0.8125
197 SNr Six3 Gaba,20 MB GABA,GABA,3,5.7056994,5.651969,1.0
198 IC Six3 En2 Gaba,20 MB GABA,GABA,88,4.3537755,5.326934,0.7386363636363636
199 PAG-MRN-RN Foxa2 Gaba,20 MB GABA,GABA,9,4.1108303,5.0836806,0.7777777777777778
200 PAG-ND-PCG Onecut1 Gaba,20 MB GABA,GABA,774,5.119389,5.911173,0.8281653746770026
200 PAG-ND-PCG Onecut1 Gaba,20 MB GABA,GABA-Glyc,82,4.8071265,5.379443,0.8170731707317073
201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA,6,6.31276,7.268834,0.8333333333333334
201 PAG-RN Nkx2-2 Otx1 Gaba,20 MB GABA,GABA-Glyc,4,4.333111,5.314474,0.75
202 PRT Tcf7l2 Gaba,20 MB GABA,GABA,45,4.4751487,5.4484305,0.7333333333333333
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
204 SC Otx2 Gcnt4 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
205 SC-PAG Lef1 Emx2 Gaba,20 MB GABA,GABA,4,6.4515224,6.445559,1.0
206 SCm-PAG Cdh23 Gaba,20 MB GABA,GABA,4,4.640689,5.6796756,0.75
207 SCs Dmbx1 Gaba,20 MB GABA,GABA,5,4.7597556,5.8543644,0.8
208 SC Lef1 Otx2 Gaba,20 MB GABA,GABA,1,7.433055,7.433055,1.0
209 SCs Pax7 Nfia Gaba,20 MB GABA,GABA,2,6.5673285,6.5673285,1.0
212 SCs Lef1 Gli3 Gaba,20 MB GABA,GABA,1,7.183823,7.183823,1.0
213 SCsg Gabrr2 Gaba,20 MB GABA,GABA,9,2.8414924,0.0,0.4444444444444444
214 IPN Otp Crisp1 Gaba,20 MB GABA,GABA,89,4.94091,6.0726247,0.7640449438202247
214 IPN Otp Crisp1 Gaba,20 MB GABA,Glut-GABA,1,7.65669,7.65669,1.0
