cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
12,0451 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,13,6.141021,5.661612,1.0
13,0452 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,116,4.072148,4.973319,0.75
14,0424 L6b CTX Glut_1,0110 L6b CTX Glut_1,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,38,4.4638834,5.71284,0.7105263157894737
15,0453 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,4,1.3509531,0.0,0.25
18,0403 L6b EPd Glut_1,0103 L6b EPd Glut_1,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,1,0.0,0.0,0.0
23,0407 L6b EPd Glut_3,0105 L6b EPd Glut_3,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,7,4.895579,5.2831225,0.8571428571428571
27,0430 L6b CTX Glut_2,0111 L6b CTX Glut_2,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,1,4.9311204,4.9311204,1.0
31,0425 L6b CTX Glut_1,0110 L6b CTX Glut_1,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,3,5.754505,6.2588615,1.0
33,0431 L6b CTX Glut_3,0112 L6b CTX Glut_3,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,1,6.861602,6.861602,1.0
35,0433 L6b CTX Glut_3,0112 L6b CTX Glut_3,029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,6,5.878015,6.771764,0.8333333333333334
37,0404 L6b EPd Glut_1,0103 L6b EPd Glut_1,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,4,6.714043,6.738394,1.0
59,0455 L6 CT CTX Glut_5,0118 L6 CT CTX Glut_5,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,110,3.5719397,4.4895115,0.6363636363636364
60,0446 L6 CT CTX Glut_3,0116 L6 CT CTX Glut_3,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,2,3.1030817,3.1030817,0.5
61,0447 L6 CT CTX Glut_3,0116 L6 CT CTX Glut_3,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,0.0,0.0,0.0
62,0448 L6 CT CTX Glut_3,0116 L6 CT CTX Glut_3,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,4.9509053,4.9509053,1.0
64,0436 L6 CT CTX Glut_1,0114 L6 CT CTX Glut_1,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,21,3.4205925,5.0104194,0.6190476190476191
65,0442 L6 CT CTX Glut_2,0115 L6 CT CTX Glut_2,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,3,0.0,0.0,0.0
66,0437 L6 CT CTX Glut_1,0114 L6 CT CTX Glut_1,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,1,6.471301,6.471301,1.0
70,0444 L6 CT CTX Glut_2,0115 L6 CT CTX Glut_2,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,3,1.714419,0.0,0.3333333333333333
72,0439 L6 CT CTX Glut_1,0114 L6 CT CTX Glut_1,030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,2,3.0471098,3.0471098,0.5
76,0464 L5 NP CTX Glut_2,0123 L5 NP CTX Glut_2,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,14,5.6565366,7.410917,0.7857142857142857
77,0465 L5 NP CTX Glut_2,0123 L5 NP CTX Glut_2,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,3,3.0890815,0.0,0.3333333333333333
78,0466 L5 NP CTX Glut_2,0123 L5 NP CTX Glut_2,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,1,0.0,0.0,0.0
86,0467 L5 NP CTX Glut_2,0123 L5 NP CTX Glut_2,032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,4,5.765972,5.6701612,1.0
96,0482 NP SUB Glut_2,0128 NP SUB Glut_2,033 NP SUB Glut,02 NP-CT-L6b Glut,Glut,1,6.5946684,6.5946684,1.0
103,0034 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,5,3.5434022,5.130225,0.6
105,0038 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,4,2.8852267,2.795929,0.5
106,0044 L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,1,4.4910717,4.4910717,1.0
109,0053 L6 IT CTX Glut_5,0017 L6 IT CTX Glut_5,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,4,4.9819613,5.122761,1.0
110,0054 L6 IT CTX Glut_5,0017 L6 IT CTX Glut_5,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,6,3.4463928,4.5716343,0.6666666666666666
112,0049 L6 IT CTX Glut_4,0016 L6 IT CTX Glut_4,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,1,4.314672,4.314672,1.0
113,0036 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,3,3.8471992,5.7674713,0.6666666666666666
116,0006 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,01 IT-ET Glut,Glut,5,4.41421,4.4713435,0.8
120,0007 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,01 IT-ET Glut,Glut,2,6.0999837,6.0999837,1.0
