subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,44,3.3854475,4.264284,0.6590909090909091
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,134,2.4240017,0.0,0.4552238805970149
007 L2/3 IT CTX Glut,01 IT-ET Glut,Glut,1,5.737258,5.737258,1.0
009 L2/3 IT PIR-ENTl Glut,01 IT-ET Glut,Glut,52,1.7467891,0.0,0.3076923076923077
010 IT AON-TT-DP Glut,01 IT-ET Glut,Glut,323,2.9252388,4.132813,0.5634674922600619
012 MEA Slc17a7 Glut,01 IT-ET Glut,Glut,3984,3.0106091,4.4117937,0.5446787148594378
013 COAp Grxcr2 Glut,01 IT-ET Glut,Glut,60,1.69915,0.0,0.31666666666666665
014 LA-BLA-BMA-PA Glut,01 IT-ET Glut,Glut,113,3.5640178,4.6509776,0.6283185840707964
017 CA3 Glut,01 IT-ET Glut,Glut,10,2.9496822,2.5658522,0.5
022 L5 ET CTX Glut,01 IT-ET Glut,Glut,3,2.0423837,0.0,0.3333333333333333
025 CA2-FC-IG Glut,01 IT-ET Glut,Glut,96,2.26699,0.0,0.3958333333333333
026 NLOT Rho Glut,01 IT-ET Glut,Glut,286,2.6164038,3.7531967,0.5034965034965035
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,12,5.0937686,6.2977357,0.8333333333333334
029 L6b CTX Glut,02 NP-CT-L6b Glut,Glut,49,4.7745285,5.7856126,0.7551020408163265
030 L6 CT CTX Glut,02 NP-CT-L6b Glut,Glut,277,3.7950106,4.962571,0.6823104693140795
032 L5 NP CTX Glut,02 NP-CT-L6b Glut,Glut,22,5.0692115,6.4423637,0.7272727272727273
033 NP SUB Glut,02 NP-CT-L6b Glut,Glut,1,6.5946684,6.5946684,1.0
035 OB Eomes Ms4a15 Glut,03 OB-CR Glut,Glut,65,1.3405108,0.0,0.2153846153846154
036 HPF CR Glut,03 OB-CR Glut,Glut,423,2.3180041,0.0,0.32387706855791965
037 DG Glut,04 DG-IMN Glut,Glut,262,2.379403,0.0,0.3893129770992366
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,25,2.0465188,0.0,0.28
039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,109,1.5751184,0.0,0.22018348623853212
040 OB Trdn Gaba,05 OB-IMN GABA,GABA,50,0.54780555,0.0,0.08
041 OB-in Frmd7 Gaba,05 OB-IMN GABA,GABA,652,0.9135294,0.0,0.1303680981595092
042 OB-out Frmd7 Gaba,05 OB-IMN GABA,GABA,201,0.4705363,0.0,0.05970149253731343
043 OB-mi Frmd7 Gaba,05 OB-IMN GABA,GABA,8,1.7964127,0.0,0.25
044 OB Dopa-Gaba,05 OB-IMN GABA,Dopa,13,1.1142148,0.0,0.15384615384615385
044 OB Dopa-Gaba,05 OB-IMN GABA,GABA,40,1.5292466,0.0,0.225
044 OB Dopa-Gaba,05 OB-IMN GABA,Glut-GABA,1,8.066787,8.066787,1.0
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,2192,1.6211656,0.0,0.23357664233576642
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,GABA,1227,0.9919387,0.0,0.1466992665036675
046 Vip Gaba,06 CTX-CGE GABA,GABA,538,2.0431988,0.0,0.34572490706319703
047 Sncg Gaba,06 CTX-CGE GABA,GABA,121,1.884761,0.0,0.35537190082644626
047 Sncg Gaba,06 CTX-CGE GABA,Glut-GABA,9,3.7877705,4.152749,0.7777777777777778
048 RHP-COA Ndnf Gaba,06 CTX-CGE GABA,GABA,182,2.888883,4.2022886,0.5274725274725275
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,612,2.3153358,0.0,0.40522875816993464
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,92,2.6732192,0.0,0.45652173913043476
051 Pvalb chandelier Gaba,07 CTX-MGE GABA,GABA,58,3.2232199,4.556733,0.5344827586206896
052 Pvalb Gaba,07 CTX-MGE GABA,GABA,108,3.6629348,4.8837714,0.6574074074074074
053 Sst Gaba,07 CTX-MGE GABA,GABA,227,3.6762893,4.9390078,0.6299559471365639
054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,1458,3.6444094,5.026273,0.6200274348422496
055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,646,3.7849329,5.1050825,0.6439628482972136
056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,1196,4.3148384,5.548796,0.7198996655518395
057 NDB-SI-MA-STRv Lhx8 Gaba,08 CNU-MGE GABA,GABA,1199,4.319713,5.297624,0.7472894078398665
058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,Chol,238,3.8770094,4.704921,0.7436974789915967
058 PAL-STR Gaba-Chol,08 CNU-MGE GABA,GABA,48,4.4785943,5.9237194,0.7083333333333334
059 GPe-SI Sox6 Cyp26b1 Gaba,09 CNU-LGE GABA,GABA,208,3.3692808,4.8168716,0.5961538461538461
