cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
21,0406 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,3,3.0789344,3.9166284,0.6666666666666666
22,0405 L6b EPd Glut_2,0104 L6b EPd Glut_2,027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,1,5.526278,5.526278,1.0
113,0036 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
116,0006 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
120,0007 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,01 IT-ET Glut,Glut,26,2.9216459,4.122228,0.5769230769230769
121,0008 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
129,0002 CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,1,6.201283,6.201283,1.0
516,0825 Sst Gaba_18,0231 Sst Gaba_18,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,5.3587914,5.3587914,1.0
558,0812 Sst Gaba_14,0227 Sst Gaba_14,053 Sst Gaba,07 CTX-MGE GABA,GABA,1,0.0,0.0,0.0
565,0841 STR Lhx8 Gaba_1,0236 STR Lhx8 Gaba_1,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,1,0.0,0.0,0.0
572,0833 STR Prox1 Lhx6 Gaba_2,0234 STR Prox1 Lhx6 Gaba_2,054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,3,4.452179,5.699635,0.6666666666666666
576,0840 STR Lhx8 Gaba_1,0236 STR Lhx8 Gaba_1,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,2,6.709666,6.709666,1.0
579,0844 STR Lhx8 Gaba_2,0237 STR Lhx8 Gaba_2,055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,6,3.881297,5.027521,0.6666666666666666
617,0639 Vip Gaba_4,0176 Vip Gaba_4,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
624,0682 Sncg Gaba_6,0190 Sncg Gaba_6,047 Sncg Gaba,06 CTX-CGE GABA,GABA,1,3.614127,3.614127,1.0
636,0632 Vip Gaba_3,0175 Vip Gaba_3,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
641,0674 Sncg Gaba_3,0187 Sncg Gaba_3,047 Sncg Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
649,0623 Vip Gaba_1,0173 Vip Gaba_1,046 Vip Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
686,0625 Vip Gaba_1,0173 Vip Gaba_1,046 Vip Gaba,06 CTX-CGE GABA,GABA,5,3.9996266,6.351813,0.6
703,0708 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,1,0.0,0.0,0.0
704,0709 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,2,0.0,0.0,0.0
705,0710 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,6,1.5931708,0.0,0.3333333333333333
718,0712 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,1,6.2256637,6.2256637,1.0
726,0731 Lamp5 Lhx6 Gaba_1,0203 Lamp5 Lhx6 Gaba_1,050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,1,0.0,0.0,0.0
763,0849 Sst Chodl Gaba_2,0239 Sst Chodl Gaba_2,056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,1,5.443507,5.443507,1.0
769,0845 Sst Chodl Gaba_1,0238 Sst Chodl Gaba_1,056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,2,7.0059557,7.0059557,1.0
1039,1625 PVHd Gsc Gaba_1,0441 PVHd Gsc Gaba_1,096 PVHd Gsc Gaba,12 HY GABA,GABA,3,0.0,0.0,0.0
1041,1328 CEA-BST Six3 Cyp26b1 Gaba_1,0367 CEA-BST Six3 Cyp26b1 Gaba_1,079 CEA-BST Six3 Cyp26b1 Gaba,11 CNU-HYa GABA,GABA,3,0.0,0.0,0.0
1055,0971 STR D2 Gaba_1,0274 STR D2 Gaba_1,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,1,5.74367,5.74367,1.0
1062,0970 STR D2 Gaba_1,0274 STR D2 Gaba_1,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,1,0.0,0.0,0.0
1063,0978 STR D2 Gaba_3,0276 STR D2 Gaba_3,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,5,3.7041295,6.0427895,0.6
1067,0961 STR D1 Gaba_8,0272 STR D1 Gaba_8,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,15,2.5927374,0.0,0.4666666666666667
1069,0957 STR D1 Gaba_5,0269 STR D1 Gaba_5,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,1,0.0,0.0,0.0
1072,0960 STR D1 Gaba_7,0271 STR D1 Gaba_7,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,13,3.6027422,4.86558,0.6153846153846154
1076,0977 STR D2 Gaba_2,0275 STR D2 Gaba_2,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,1,6.539627,6.539627,1.0
1079,0975 STR D2 Gaba_2,0275 STR D2 Gaba_2,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,1,6.3337646,6.3337646,1.0
1088,0981 STR D2 Gaba_4,0277 STR D2 Gaba_4,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,7,2.4960523,0.0,0.42857142857142855
1091,0954 STR D1 Gaba_4,0268 STR D1 Gaba_4,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,1,6.7442665,6.7442665,1.0
1104,1241 MEA-BST Lhx6 Sp9 Gaba_1,0347 MEA-BST Lhx6 Sp9 Gaba_1,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,6.63903,6.63903,1.0
1105,1242 MEA-BST Lhx6 Sp9 Gaba_1,0347 MEA-BST Lhx6 Sp9 Gaba_1,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,6.1289973,6.1289973,1.0
1110,1250 MEA-BST Lhx6 Sp9 Gaba_3,0349 MEA-BST Lhx6 Sp9 Gaba_3,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1122,1240 MEA-BST Lhx6 Sp9 Gaba_1,0347 MEA-BST Lhx6 Sp9 Gaba_1,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,2,2.5343246,2.5343246,0.5
1123,1247 MEA-BST Lhx6 Sp9 Gaba_2,0348 MEA-BST Lhx6 Sp9 Gaba_2,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,5,3.9076438,5.723054,0.6
1147,1191 MEA-BST Sox6 Gaba_1,0337 MEA-BST Sox6 Gaba_1,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,1,4.8306575,4.8306575,1.0
