subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
001 CLA-EPd-CTX Car3 Glut,01 IT-ET Glut,Glut,1,6.201283,6.201283,1.0
002 IT EP-CLA Glut,01 IT-ET Glut,Glut,28,2.712957,3.9018168,0.5357142857142857
004 L6 IT CTX Glut,01 IT-ET Glut,Glut,1,0.0,0.0,0.0
027 L6b EPd Glut,02 NP-CT-L6b Glut,Glut,4,3.6907704,4.6184015,0.75
036 HPF CR Glut,03 OB-CR Glut,Glut,16,4.621321,6.619233,0.625
037 DG Glut,04 DG-IMN Glut,Glut,21,3.7284427,5.6108036,0.6190476190476191
038 DG-PIR Ex IMN,04 DG-IMN Glut,Glut,1,0.0,0.0,0.0
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,,2,3.2867618,3.2867618,0.5
045 OB-STR-CTX Inh IMN,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
046 Vip Gaba,06 CTX-CGE GABA,GABA,8,2.4997666,0.0,0.375
047 Sncg Gaba,06 CTX-CGE GABA,GABA,2,1.8070635,1.8070635,0.5
049 Lamp5 Gaba,06 CTX-CGE GABA,GABA,10,1.5784689,0.0,0.3
050 Lamp5 Lhx6 Gaba,07 CTX-MGE GABA,GABA,1,0.0,0.0,0.0
053 Sst Gaba,07 CTX-MGE GABA,GABA,2,2.6793957,2.6793957,0.5
054 STR Prox1 Lhx6 Gaba,08 CNU-MGE GABA,GABA,4,4.7893753,5.7503004,0.75
055 STR Lhx8 Gaba,08 CNU-MGE GABA,GABA,9,4.0785685,5.88325,0.6666666666666666
056 Sst Chodl Gaba,08 CNU-MGE GABA,GABA,3,6.48514,6.8640223,1.0
059 GPe-SI Sox6 Cyp26b1 Gaba,09 CNU-LGE GABA,GABA,3,6.111651,6.4421964,1.0
060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,1,7.0968523,7.0968523,1.0
061 STR D1 Gaba,09 CNU-LGE GABA,GABA,30,3.082366,4.827773,0.5333333333333333
062 STR D2 Gaba,09 CNU-LGE GABA,GABA,16,3.4131298,5.3538375,0.5625
063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,11,2.2183511,0.0,0.36363636363636365
064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,32,1.9213234,0.0,0.28125
073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,4,6.0982027,6.2561307,1.0
074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,11,4.0727353,5.723054,0.6363636363636364
075 MEA-BST Lhx6 Nr2e1 Gaba,11 CNU-HYa GABA,GABA,1,6.4407263,6.4407263,1.0
076 MEA-BST Lhx6 Nfib Gaba,11 CNU-HYa GABA,GABA,9,3.091569,4.436953,0.5555555555555556
079 CEA-BST Six3 Cyp26b1 Gaba,11 CNU-HYa GABA,GABA,3,0.0,0.0,0.0
082 CEA-BST Ebf1 Pdyn Gaba,11 CNU-HYa GABA,GABA,5,5.1667314,6.4225674,0.8
083 CEA-BST Rai14 Pdyn Crh Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
093 RT-ZI Gnb3 Gaba,12 HY GABA,GABA,2373,4.7897553,5.7515087,0.7939317319848294
096 PVHd Gsc Gaba,12 HY GABA,GABA,3,0.0,0.0,0.0
097 PVHd-SBPV Six3 Prox1 Gaba,12 HY GABA,GABA,63,4.582379,5.8096805,0.7142857142857143
098 AHN-SBPV-PVHd Pdrm12 Gaba,12 HY GABA,GABA,4,6.0739055,5.540292,1.0
101 ZI Pax6 Gaba,12 HY GABA,Dopa,6,4.2528715,5.705828,0.6666666666666666
101 ZI Pax6 Gaba,12 HY GABA,GABA,1616,4.4747853,5.7574363,0.7153465346534653
102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,5,4.121267,6.4705505,0.6
103 PVHd-DMH Lhx6 Gaba,12 HY GABA,GABA,42,5.1465573,6.484483,0.7857142857142857
107 DMH Hmx2 Gaba,12 HY GABA,GABA,4,6.329544,5.886756,1.0
109 LGv-ZI Otx2 Gaba,12 HY GABA,GABA,2522,4.454649,5.6658816,0.7192704203013481
110 BST-po Iigp1 Glut,13 CNU-HYa Glut,Glut,39,3.040561,4.726105,0.5128205128205128
111 TRS-BAC Sln Glut,13 CNU-HYa Glut,Glut,2,6.967057,6.967057,1.0
112 GPi Tbr1 Cngb3 Gaba-Glut,13 CNU-HYa Glut,Glut-GABA,5,4.159101,4.9545455,0.8
113 MEA-COA-BMA Ccdc42 Glut,13 CNU-HYa Glut,Glut,1,0.0,0.0,0.0
117 LHA Barhl2 Glut,13 CNU-HYa Glut,Glut,10,3.6268845,5.1730337,0.6
118 ADP-MPO Trp73 Glut,13 CNU-HYa Glut,Glut,7,4.8074913,6.572985,0.7142857142857143
119 SI-MA-LPO-LHA Skor1 Glut,13 CNU-HYa Glut,Glut,4,3.4064703,3.3461163,0.5
119 SI-MA-LPO-LHA Skor1 Glut,13 CNU-HYa Glut,Glut-GABA,2,6.262311,6.262311,1.0
121 MEA-BST Otp Zic2 Glut,13 CNU-HYa Glut,Glut,3,4.2198215,6.16935,0.6666666666666666
130 LHA Pmch Glut,14 HY Glut,Glut,1,0.0,0.0,0.0
133 PVH-SO-PVa Otp Glut,14 HY Glut,Glut,40,3.9406376,5.3185053,0.65
134 PH-ant-LHA Otp Bsx Glut,14 HY Glut,Glut,32,5.5531707,6.231676,0.875
135 STN-PSTN Pitx2 Glut,14 HY Glut,Glut,1,6.1894035,6.1894035,1.0
137 PH-an Pitx2 Glut,14 HY Glut,Glut,1,5.4968443,5.4968443,1.0
138 PH Pitx2 Glut,14 HY Glut,Dopa,1,4.579829,4.579829,1.0
138 PH Pitx2 Glut,14 HY Glut,Glut,76,4.3586984,5.433587,0.7236842105263158
139 PH-LHA Foxb1 Glut,14 HY Glut,Glut,3,6.6025424,6.882254,1.0
