region,subclass,class,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
HPF,326 OPC NN,31 OPC-Oligo,11949,7.382030965821408,8.064677,0.914218763076408
Isocortex-1,326 OPC NN,31 OPC-Oligo,2397,7.340097694326241,8.123172,0.8973717146433041
Isocortex-2,326 OPC NN,31 OPC-Oligo,14676,7.3337581182747344,8.1083125,0.8956118833469611
CTXsp,326 OPC NN,31 OPC-Oligo,7709,7.304814283266312,7.9823613,0.909456479439616
OLF,326 OPC NN,31 OPC-Oligo,2803,7.205257060149839,8.090337,0.8797716732072779
STR,326 OPC NN,31 OPC-Oligo,13487,6.990709758841848,7.9526296,0.8669830206865871
HY,326 OPC NN,31 OPC-Oligo,7384,6.74788675954767,7.711454,0.8594257854821236
MB,326 OPC NN,31 OPC-Oligo,14794,6.415280829782344,7.5881465,0.8233067459780993
TH,326 OPC NN,31 OPC-Oligo,7197,6.319708257968599,7.510358,0.8133944699180214
PAL,326 OPC NN,31 OPC-Oligo,6439,6.259326344696382,7.6407533,0.7869234353160429
P,326 OPC NN,31 OPC-Oligo,7894,6.197136568039017,7.4364068,0.805548517861667
CB,326 OPC NN,31 OPC-Oligo,1047,5.951040082617001,7.296916,0.778414517669532
MY,326 OPC NN,31 OPC-Oligo,8683,5.7860686169066,7.263927,0.7560750892548659
Isocortex-2,327 Oligo NN,31 OPC-Oligo,23797,7.94648454471572,8.587978,0.927637937555154
HY,327 Oligo NN,31 OPC-Oligo,27301,7.946407543903154,8.492223,0.939379509908062
MB,327 Oligo NN,31 OPC-Oligo,78755,7.924866840402514,8.515556,0.9338962605548854
HPF,327 Oligo NN,31 OPC-Oligo,15068,7.8938210039753125,8.499781500000001,0.934430581364481
TH,327 Oligo NN,31 OPC-Oligo,33929,7.888318779091632,8.442367,0.9374871054260367
CTXsp,327 Oligo NN,31 OPC-Oligo,7257,7.845153407868265,8.449203,0.9341325616645997
CB,327 Oligo NN,31 OPC-Oligo,6196,7.742076409893479,8.2435845,0.9409296320206585
MY,327 Oligo NN,31 OPC-Oligo,70455,7.738023811576183,8.318398,0.9326662408629621
OLF,327 Oligo NN,31 OPC-Oligo,4887,7.671045113812155,8.30345,0.9222426846736239
STR,327 Oligo NN,31 OPC-Oligo,21678,7.621401727281114,8.3804765,0.9064028046867793
Isocortex-1,327 Oligo NN,31 OPC-Oligo,4068,7.545079194591937,8.350189,0.9024090462143559
P,327 Oligo NN,31 OPC-Oligo,51224,7.5403770592359045,8.249561,0.9113696704669686
PAL,327 Oligo NN,31 OPC-Oligo,26596,7.368485617585351,8.275123,0.8794931568656941
