subclass,rank_overall,n_cells,mean_Kif13a,fraction_expressing,mean_among_expressing,cpm_among_expressing,naive_fold,detection_ratio,level_ratio_among_expressing
327 Oligo NN,1,371211,7.765019914220215,0.9250264674268812,8.394375931555711,335.47976364432213,1.0,1.0,1.0
326 OPC NN,2,106459,6.764457360101072,0.850797020449187,7.950729959690864,246.40484784921566,2.000780017670547,1.0872469522031283,1.3614982277037615
332 SMC NN,121,13705,4.424467163531558,0.569500182415177,7.76903555108264,217.12866342840792,10.129933166441507,1.6242777368463044,1.5450735906866444
335 BAM NN,155,5516,4.139340412146483,0.5398839738941261,7.667092583411686,202.24732908002292,12.343498959994172,1.7133801189814228,1.6587599211833512
318 Astro-NT NN,160,139030,4.086697386960369,0.5374955045673596,7.603221519498716,193.44543024759014,12.80222378399456,1.7209938679793289,1.734234627382734
334 Microglia NN,168,81472,3.879017706744648,0.4917272191673212,7.888556003292397,235.9692420590459,14.784383780798292,1.8811780828266906,1.421709714015931
333 Endo NN,176,84356,3.790201947700223,0.4937763763099246,7.6759483230547625,203.49876538945406,15.723145568047542,1.8733712502403665,1.6485592087120728
319 Astro-TE NN,178,144668,3.772723433937706,0.5096496806481047,7.402581767813644,168.1995320023066,15.914792923852398,1.8150241284377058,1.9945344654093422
316 Bergmann NN,190,3321,3.606476154080097,0.5323697681421259,6.774381961368779,108.4692575159436,17.85855888344941,1.7375638565184799,3.09285572084801
330 VLMC NN,205,8544,3.4339703578768725,0.4590355805243445,7.480837006042836,177.63079517434042,20.126850891603592,2.0151519983924717,1.8886351508760442
331 Peri NN,240,23170,2.8500955145662497,0.3519205869659041,8.098689363809175,273.1248607492214,30.167524264327593,2.628509105994707,1.2283018203617646
