subclass,n_cells,cell_class,neurotransmitter,n_partitions,mean_Kif13a,fraction_expressing
327 Oligo NN,371211,31 OPC-Oligo,,13,7.765019914220215,0.9250264674268812
326 OPC NN,106459,31 OPC-Oligo,,13,6.764457360101072,0.850797020449187
145 MH Tac2 Glut,4662,17 MH-LH Glut,Chol,5,6.757697807872158,0.9163449163449163
298 PRP Gata3 Slc6a5 Gly-Gaba,716,27 MY GABA,GABA-Glyc,2,6.679214888268157,0.9399441340782121
251 NTS Dbh Glut,1725,24 MY Glut,Glut,4,6.041827412289855,0.8782608695652174
294 MV Pax6 Gly-Gaba,623,27 MY GABA,GABA-Glyc,3,5.679213168218299,0.8747993579454254
292 MV Nkx6-1 Gly-Gaba,1271,27 MY GABA,GABA-Glyc,2,5.667426185680566,0.909520062942565
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,875,27 MY GABA,GABA-Glyc,4,5.661107027771428,0.8822857142857143
283 PRP Otp Gly-Gaba,2312,27 MY GABA,GABA-Glyc,2,5.643603335640138,0.8680795847750865
129 VMH Nr5a1 Glut,3793,14 HY Glut,Glut,4,5.596371214025836,0.8589506986554178
128 VMH Fezf1 Glut,1286,14 HY Glut,Glut,2,5.5790575587091755,0.8755832037325039
034 NP PPP Glut,536,02 NP-CT-L6b Glut,Glut,2,5.512645689365672,0.875
291 NTS-MDRNd Prox1 Zic1 Gly-Gaba,607,27 MY GABA,GABA-Glyc,2,5.408853546952224,0.8336079077429983
126 ARH-PVp Tbx3 Glut,2193,14 HY Glut,Glut,4,5.408051833971728,0.8549931600547196
257 SPVC Ccdc172 Glut,592,24 MY Glut,Glut,1,5.404148,0.7753378378378378
144 MM Foxb1 Glut,5855,16 HY MM Glut,Glut,3,5.40128637233134,0.8695132365499573
140 PMd-LHA Foxb1 Glut,1289,14 HY Glut,Glut,4,5.394826210628393,0.8502715283165244
246 CU-ECU-SPVI Foxb1 Glut,1659,24 MY Glut,Glut,4,5.373385795177819,0.8625678119349005
329 ABC NN,824,33 Vascular,,9,5.370262845388349,0.7354368932038835
197 SNr Six3 Gaba,1418,20 MB GABA,GABA,2,5.342422598166432,0.892101551480959
248 MV-SPIV Zic4 Neurod2 Glut,1973,24 MY Glut,Glut,3,5.336755669488089,0.8550430816016219
293 PAS-MV Ebf2 Gly-Gaba,4509,27 MY GABA,GABA-Glyc,4,5.313934810955866,0.8272344200487914
139 PH-LHA Foxb1 Glut,2145,14 HY Glut,Glut,6,5.287605897249417,0.8391608391608392
143 MM-ant Foxb1 Glut,2746,16 HY MM Glut,Glut,4,5.267151498324837,0.8415877640203933
103 PVHd-DMH Lhx6 Gaba,1666,12 HY GABA,GABA,5,5.25058140942377,0.8331332533013205
314 CB Granule Glut,133778,29 CB Glut,Glut,5,5.213353685630671,0.6654532135328679
243 PGRN-PARN-MDRN Hoxb5 Glut,3564,24 MY Glut,Glut,5,5.182288065207632,0.8372615039281706
238 NTS Phox2b Glut,5226,24 MY Glut,Glut,2,5.1785366902985075,0.8067355530042097
132 AHN-RCH-LHA Otp Fezf1 Glut,1882,14 HY Glut,Glut,6,5.171220831827843,0.842720510095643
214 IPN Otp Crisp1 Gaba,3087,20 MB GABA,GABA,3,5.133808227858762,0.7952704891480402
164 APN C1ql4 Glut,2099,19 MB Glut,Glut,4,5.101512344830871,0.7965697951405432
148 AV Col27a1 Glut,3425,18 TH Glut,Glut,4,5.058398011737226,0.877956204379562
247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,768,24 MY Glut,Glut,2,5.055110953125,0.7942708333333334
322 Tanycyte NN,1004,30 Astro-Epen,,4,5.04447215816733,0.6852589641434262
200 PAG-ND-PCG Onecut1 Gaba,1702,20 MB GABA,GABA,4,5.033577967097532,0.8225616921269095
270 LDT-DTN Gata3 Nfix Gaba,800,26 P GABA,GABA,4,5.0324899725000005,0.83375
031 CT SUB Glut,1951,02 NP-CT-L6b Glut,Glut,3,5.0307754597642225,0.8124038954382368
156 MB-ant-ve Dmrta2 Glut,542,19 MB Glut,Glut,6,5.030028789852399,0.8413284132841329
237 PRP-NI-PRNc-GRN Otp Glut,1275,24 MY Glut,Glut,3,5.025811823372549,0.807843137254902
264 PRNc Otp Gly-Gaba,1943,26 P GABA,GABA-Glyc,4,5.018579577354607,0.8069994853319609
160 PAG-SC Neurod2 Meis2 Glut,2216,19 MB Glut,Glut,5,5.002568691832131,0.7788808664259927
175 SC Bnc2 Glut,1129,19 MB Glut,Glut,1,4.984948,0.7803365810451727
267 CS-PRNr-PCG Tmem163 Otp Gaba,1191,26 P GABA,GABA,4,4.980223737699412,0.7959697732997482
277 DTN-LDT-IPN Otp Pax3 Gaba,4055,26 P GABA,GABA,3,4.939940250406905,0.7718865598027127
124 MPN-MPO-PVpo Hmx2 Glut,2942,14 HY Glut,Glut,5,4.932734414072059,0.8076138681169273
095 DMH Prdm13 Gaba,1426,12 HY GABA,GABA,4,4.909536312272089,0.7468443197755961
193 MRN-PPN-CUN Pax8 Gaba,910,20 MB GABA,GABA,3,4.9082120783516485,0.7725274725274726
102 DMH-LHA Gsx1 Gaba,3497,12 HY GABA,GABA,6,4.887739479525307,0.7806691449814126
154 PF Fzd5 Glut,2703,18 TH Glut,Glut,4,4.886765109285979,0.8261191268960414
192 PPN-CUN-PCG Otp En1 Gaba,1296,20 MB GABA,GABA,4,4.877574352006173,0.7716049382716049
272 LDT-PCG-CS Gata3 Lhx1 Gaba,1107,26 P GABA,GABA,3,4.8600915361336945,0.7985546522131888
271 NI-RPO Gata3 Nr4a2 Gaba,951,26 P GABA,GABA,3,4.857361367402733,0.7875920084121977
123 DMH Nkx2-4 Glut,2165,14 HY Glut,Glut,2,4.830168341154734,0.7325635103926097
275 PDTg Otp Olig3 Gaba,1105,26 P GABA,GABA,3,4.828784452579186,0.7873303167420814
146 LH Pou4f1 Sox1 Glut,1413,17 MH-LH Glut,Glut,4,4.819603924769994,0.7876857749469215
099 SBPV-PVa Six6 Satb2 Gaba,1754,12 HY GABA,GABA,3,4.817880724515394,0.7611174458380844
269 LDT Fgf7 Gaba,518,26 P GABA,GABA,3,4.817842577606178,0.7953667953667953
134 PH-ant-LHA Otp Bsx Glut,3519,14 HY Glut,Glut,7,4.81205645069622,0.7868712702472294
166 MRN Pou3f1 C1ql4 Glut,561,19 MB Glut,Glut,2,4.809231432085562,0.7932263814616756
162 CUN Evx2 Lhx2 Glut,2308,19 MB Glut,Glut,3,4.80508876347487,0.7790294627383015
245 SPVI-SPVC Tlx3 Ebf3 Glut,2950,24 MY Glut,Glut,3,4.80229300759322,0.763728813559322
097 PVHd-SBPV Six3 Prox1 Gaba,1905,12 HY GABA,GABA,7,4.8001386253018365,0.7627296587926509
108 ARH-PVp Tbx3 Gaba,1749,12 HY GABA,GABA,4,4.797431749056605,0.7712978845054317
098 AHN-SBPV-PVHd Pdrm12 Gaba,2915,12 HY GABA,GABA,5,4.794875217941681,0.7656946826758148
263 CS-RPO Meis2 Gaba,1522,26 P GABA,GABA,3,4.794762600788436,0.7647831800262812
100 AHN Onecut3 Gaba,1122,12 HY GABA,GABA,3,4.783795751336898,0.785204991087344
258 SPVC Nmu Glut,960,24 MY Glut,Glut,1,4.7721925,0.7354166666666667
212 SCs Lef1 Gli3 Gaba,1349,20 MB GABA,GABA,2,4.7710608828762044,0.7242401779095626
101 ZI Pax6 Gaba,6570,12 HY GABA,GABA,7,4.769509298493151,0.776103500761035
135 STN-PSTN Pitx2 Glut,3251,14 HY Glut,Glut,6,4.768354658997231,0.8046754844663181
276 LDT-PCG St18 Gaba,1091,26 P GABA,GABA,4,4.766043290284143,0.7598533455545371
117 LHA Barhl2 Glut,778,13 CNU-HYa Glut,Glut,8,4.765489179691516,0.7827763496143959
285 MY Lhx1 Gly-Gaba,2455,27 MY GABA,GABA,5,4.761133768839104,0.7963340122199593
235 PG-TRN-LRN Fat2 Glut,3889,23 P Glut,Glut,5,4.756499442041656,0.8079197737207509
229 PB-NTS Phox2b Ebf3 Lmx1b Glut,883,23 P Glut,Glut,3,4.753203264665912,0.782559456398641
295 CBN Dmbx1 Gaba,3641,27 MY GABA,GABA,4,4.751001994507004,0.784674539961549
161 PAG Pou4f3 Glut,3090,19 MB Glut,Glut,2,4.745617904207119,0.7644012944983819
171 PAG Pou4f1 Bnc2 Glut,1973,19 MB Glut,Glut,3,4.740257059706031,0.7729346173340091
107 DMH Hmx2 Gaba,3333,12 HY GABA,GABA,5,4.734984609510951,0.7755775577557755
224 PCG-PRNr Vsx2 Nkx6-1 Glut,1912,23 P Glut,Glut,3,4.726149527458159,0.7698744769874477
199 PAG-MRN-RN Foxa2 Gaba,1599,20 MB GABA,GABA,3,4.718408177923702,0.7879924953095685
201 PAG-RN Nkx2-2 Otx1 Gaba,3440,20 MB GABA,GABA-Glyc,4,4.698692105523255,0.7709302325581395
